date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,recreation,essentials,parks,station_transit,workplace,resedential,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,alberta,alberta-us,Coronavirus,Mean Temp
01-03-2020,0,0,#NAME?,#NAME?,,,116.3766667,173.8933333,133.0233333,6.294117647,4.176470588,13.5,-1.714285714,1.777777778,-0.071428571,,0,,0,0,482.4374008,993.3117303,60,-4.4
02-03-2020,0,0,#NAME?,#NAME?,,,94.00666667,165.3866667,130.13,8.764705882,7,20.9,6.571428571,3.928571429,-1.2,,0,,0,0,468.0207267,949.7903627,74,2.6
03-03-2020,0,0,#NAME?,#NAME?,,,74.37666667,105.2633333,93.57,6,3.25,14.3,-0.285714286,3.285714286,-0.125,,0,,0,0,558.4001956,874.2660455,80,1.2
04-03-2020,0,0,#NAME?,#NAME?,,,109.34,119.65,101.3,0.117647059,2,3.5,2.571428571,4,0.214285714,,0,,0,0,518.5704117,1087.413702,100,-0.6
05-03-2020,1,0,0,#NAME?,inf,,108.95,129.0366667,106.9433333,2.411764706,0.1875,7.4,5.285714286,4,0.142857143,,0,,0,0,524.4057668,946.7955414,94,0
06-03-2020,2,0,0.693147181,#NAME?,0.693147181,,108.0733333,135.9066667,108.0966667,7,6.5625,9.4,2.714285714,5.555555556,-0.533333333,,0,,0,0,201.237173,1249.823967,17,0.4
07-03-2020,2,0,0.693147181,#NAME?,0,,113.7466667,148.67,114.3266667,9.058823529,10.375,10.2,5.714285714,4.666666667,-0.642857143,,0,,0,0,284.6467388,1298.169647,18,-11.1
08-03-2020,4,0,1.386294361,#NAME?,0.693147181,,120.2433333,176.5333333,134.8266667,11,10.8125,14.3,12.71428571,7.111111111,-1.785714286,,0,,0,0,243.5512931,1145.448548,19,-13.8
09-03-2020,14,0,2.63905733,#NAME?,1.252762968,,96.15333333,161.9833333,129.0833333,2.294117647,3.307692308,6,4.833333333,5,-0.1,,0,,0,0,280.749363,1506.618677,18,-7.3
10-03-2020,14,0,2.63905733,#NAME?,0,,74.52333333,112.6866667,94.94666667,8.411764706,9.416666667,13.4,4.857142857,4.571428571,-0.75,,0,,0,0,288.0421108,1264.963606,20,-2.4
11-03-2020,19,0,2.944438979,#NAME?,0.30538165,,107.51,131.0566667,102.57,4.823529412,6.3125,4.3,5.285714286,5.111111111,-0.214285714,,0,,0,0,269.206173,1426.49075,42,-0.4
12-03-2020,23,0,3.135494216,#NAME?,0.191055237,,112.3266667,134.0266667,107.5833333,5.411764706,9.3125,9.4,5.428571429,5.222222222,-0.071428571,,0,,0,0,289.4101538,1400.336596,42,-3.9
13-03-2020,29,0,3.36729583,#NAME?,0.231801614,,117.3766667,134.7766667,109.5933333,4.764705882,7.066666667,5.8,4.428571429,5.666666667,-0.066666667,,0,,0,0,262.3288704,1572.942494,31,-14.7
14-03-2020,39,0,3.663561646,#NAME?,0.296265816,,112.07,138.3433333,111.44,7.529411765,9,6.3,3.428571429,4.722222222,-0.285714286,,0,,0,0,255.4421643,1527.799215,38,-19.8
15-03-2020,56,0,4.025351691,#NAME?,0.361790045,,120.5166667,164.3266667,130.9966667,5.941176471,6.882352941,10.6,7.571428571,5.166666667,-0.285714286,,0,,0,0,278.1540178,1625.041244,38,-17.4
16-03-2020,74,0,4.304065093,#NAME?,0.278713402,,88.31,145.9233333,118.4433333,-2.294117647,1.384615385,-5.4,-5,3.5,1.4,,0,,0,0,284.1656325,1350.433177,53,-5.6
17-03-2020,97,0,4.574710979,#NAME?,0.270645885,,73.10333333,103.2233333,86.82666667,0.647058824,4,-3.9,-0.142857143,2.857142857,0.875,,0,,0,1,284.8571812,1378.048831,99,-3
18-03-2020,119,0,4.779123493,#NAME?,0.204412515,,101.3333333,126.0866667,99.76333333,4.411764706,8,12.8,3.857142857,4.111111111,0.142857143,,0,,0,2,246.8868326,1538.733051,100,-8.8
19-03-2020,146,1,4.983606622,0,0.204483129,inf,103.8233333,127.45,103.8433333,3.058823529,3.8125,4.1,1.714285714,4.111111111,0.285714286,,0,,0,2,289.6441015,1507.038496,77,-10.2
20-03-2020,195,1,5.272999559,0,0.289392937,0,101.36,126.1633333,103.9833333,5.470588235,10.5625,12.1,3,4.111111111,0.214285714,,0,,0,4,250.7062609,1515.132866,77,-5.8
21-03-2020,226,1,5.420534999,0,0.147535441,0,92.68666667,116.9,99.68333333,6.705882353,24.33333333,-4.2,2.571428571,3.5,0.5,,0,,0,14,303.3520573,1602.980846,81,-2.8
22-03-2020,259,1,5.556828062,0,0.136293062,0,81.89,111.3433333,98.37666667,-1.6875,27.875,-22.8,-9.5,0.166666667,4.142857143,,0,,0,14,295.7170478,1409.93082,76,0.3
23-03-2020,301,1,5.707110265,0,0.150282203,0,59.37666667,100.5533333,78.92666667,-15.8125,10.92307692,-32.2,-23.5,-3.428571429,5.666666667,,0,,0,19,257.9081924,1512.957019,73,1.6
24-03-2020,358,2,5.880532986,0.693147181,0.173422722,0.693147181,46.65,75.19333333,59.44,-14.2,8.583333333,-21.9,-21.16666667,-4.142857143,4.714285714,,0,,0,23,297.347323,1584.959077,63,-3.9
25-03-2020,419,2,6.03787092,0.693147181,0.157337934,0,53.71666667,90.63666667,69.35666667,-5.214285714,30.3125,-9.2,-23.57142857,-15.05555556,6.928571429,,0,,0,29,277.9826035,1760.690521,63,-5.2
26-03-2020,486,2,6.186208624,0.693147181,0.148337704,0,50.6,82.04666667,65.92333333,-17.73333333,17.6875,-12.2,-26.57142857,-20.11111111,10.07142857,,0,,0,39,291.1475662,1658.918608,68,-0.1
