date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,alberta,alberta-us,DailyVaccinated,TotalVaccinated,Alberta Vaccine,Mean Temp
01-01-2021,102928,1046,11.54178499,6.952728645,,,36.66,130.11,98.19333333,821,0,146,75070,17821,59.60312656,408.3686456,,,24,-0.9
02-01-2021,103828,1046,11.55049096,6.952728645,0.008705969,0,31.67666667,113.3,80.17,821,0,146,75070,17821,53.85200929,506.3761287,,,42,-0.1
03-01-2021,104228,1046,11.55433609,6.952728645,0.003845123,0,41.18,135.4633333,101.64,878,64441,148,81780,15487,61.24331844,429.8541641,,,20,-0.9
04-01-2021,105535,1142,11.56679793,7.04053639,0.012461844,0.087807746,44.55666667,117.49,86.34,890,11052,153,83328,14785,51.62758923,420.2771962,,,54,-2.7
05-01-2021,106378,1168,11.57475407,7.063048163,0.007956137,0.022511773,39.84666667,145.2433333,110.7666667,921,14807,152,84827,14555,62.82243714,461.5399198,,,100,-0.3
06-01-2021,107501,1193,11.58525543,7.084226422,0.010501361,0.021178259,31.56666667,127.8166667,82.99666667,921,0,152,84827,14555,59.85712291,403.5124355,,,54,-2.2
07-01-2021,108469,1217,11.5942197,7.104144093,0.008964268,0.019917671,19.45666667,45.38333333,36.07333333,921,163000,152,84827,14555,52.3507186,412.5139648,,,27,-3.2
08-01-2021,109652,1241,11.60506699,7.123672785,0.010847297,0.019528692,31.25,72.17,60.32,921,12700,152,84827,14555,34.64755852,446.1838075,,,57,-8.7
09-01-2021,110641,1272,11.614046,7.148345744,0.008979011,0.024672959,32.06333333,85.59666667,64.76,921,8100,152,84827,14555,29.70270857,422.3454538,,,22,-7.5
10-01-2021,110641,1272,11.614046,7.148345744,0,0,37.54666667,103.09,78.33,905,-117516,136,90554,13839,35.47358138,513.2333919,22861,22861,49,-4.2
11-01-2021,112091,1307,11.62706632,7.175489714,0.013020316,0.02714397,37.03666667,123.8133333,84.28,919,10358,140,91799,13411,31.83941456,435.614865,3408,26269,32,2.5
12-01-2021,112743,1345,11.63286617,7.204149292,0.005799851,0.028659578,37.69,121.3766667,89.01333333,911,16192,141,92858,13450,32.0906404,417.9361123,0,26269,62,2.5
13-01-2021,113618,1368,11.64059722,7.221105098,0.007731052,0.016955806,34.70333333,123.4133333,87.85333333,871,14866,139,93954,13298,35.90035606,470.8266087,7595,33864,24,2.1
14-01-2021,114585,1389,11.64907218,7.236339343,0.008474961,0.015234245,27.53333333,66.57,58.82666667,851,16823,135,94783,13628,33.80337564,435.4056806,0,33864,44,-3
15-01-2021,115370,1402,11.65589963,7.245655068,0.006827449,0.009315725,35.20333333,88.71333333,75.89666667,827,13583,132,94932,14437,33.30449575,455.6187656,8469,42333,64,0.3
16-01-2021,116087,1417,11.66209519,7.25629724,0.006195555,0.010642172,34,90.27333333,67.62333333,827,0,132,94932,14437,24.15444129,435.966758,0,42333,29,1.5
17-01-2021,116837,1436,11.66853508,7.26961675,0.006439891,0.01331951,44.01666667,117.98,81.84333333,811,22234,130,96867,13917,34.75582862,394.3539697,4458,46791,14,1.4
18-01-2021,117311,1447,11.67258381,7.277247727,0.004048727,0.007630977,41.53333333,123.8133333,86.11666667,819,9374,132,98178,13220,33.54038411,489.4165628,5527,52318,100,-3
19-01-2021,117767,1463,11.67646338,7.288244401,0.003879568,0.010996674,42.26,117.1966667,84.07,820,15900,137,99412,12838,27.1749767,453.0782915,5826,58144,86,-1.6
20-01-2021,118436,1484,11.68212801,7.302496424,0.005664634,0.014252023,40.99,121.29,85.94,806,16265,136,100762,12434,32.02181057,442.7953674,8809,66953,84,-3.7
21-01-2021,119114,1500,11.6878363,7.313220387,0.005708287,0.010723963,42.38,128.2333333,96.85,796,13621,124,101779,12189,28.59989416,403.5680882,7157,74110,53,-7
22-01-2021,119757,1512,11.69321997,7.321188557,0.005383672,0.00796817,38.67333333,111.1033333,87.76,765,12486,122,101957,12713,33.35113305,456.3310834,7451,81561,66,-8.5
