date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,recreation,essentials,parks,station_transit,workplace,resedential,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,british columbia,british columbia-us,Coronavirus,Mean Temp
01-03-2020,8,0,2.079441542,#NAME?,,,78.915,116.105,93.7,3.272727273,1.263157895,0.8125,5.555555556,0.7,0,,0,,1,5,3779.308289,17736.8885,37,3.3
02-03-2020,8,0,2.079441542,#NAME?,0,,86.255,121.16,100.935,2.583333333,3.391304348,21.4,1.923076923,1.8,0,,0,,1,5,3233.453556,15872.86894,32,4.8
03-03-2020,12,0,2.48490665,#NAME?,0.405465108,,84.735,120.785,106.54,2.56,2.454545455,15.30769231,2.5,2.769230769,-0.19047619,,0,,1,5,3159.609212,19056.33429,33,5.3
04-03-2020,13,0,2.564949357,#NAME?,0.080042708,,86,128.14,109.05,3.833333333,4.681818182,24.76923077,4.5,3.038461538,-0.428571429,,0,,1,6,3185.454069,16078.88968,29,7.2
05-03-2020,21,0,3.044522438,#NAME?,0.47957308,,88.185,127.305,109.57,4.166666667,4.333333333,18.07142857,1.083333333,3.615384615,-0.2,,0,,4,3,3264.904287,19244.65669,27,6.8
06-03-2020,21,0,3.044522438,#NAME?,0,,100.82,153.315,130.1,7.36,5.695652174,19.23076923,2.363636364,6.115384615,-1.65,,0,,4,3,3411.808671,17863.68738,34,6.8
07-03-2020,27,0,3.295836866,#NAME?,0.251314428,,106.065,179.47,124.75,7.72,6.904761905,29.17647059,3.666666667,3.454545455,-1.333333333,,0,,4,3,2983.658444,19526.49001,34,3.5
08-03-2020,27,1,3.295836866,0,0,inf,81.27,119.365,95.665,8.434782609,6.052631579,25.73333333,9.333333333,1.7,-1.111111111,,0,,4,3,2929.323837,18360.41734,45,2.8
09-03-2020,32,1,3.465735903,0,0.169899037,0,85.21,110.305,102.64,2.541666667,3.956521739,3.4,-2.076923077,3.115384615,0.4,,0,,4,4,2767.767118,17003.4164,58,1.8
10-03-2020,39,1,3.663561646,0,0.197825743,0,86.355,120.175,104.715,4.2,5.772727273,24.25,1.583333333,4.076923077,-0.428571429,,0,,4,4,2358.097525,19485.21896,64,4.9
11-03-2020,46,1,3.828641396,0,0.16507975,0,91.175,141.9,111.865,4.25,4.181818182,40.27272727,3.666666667,3.5,-0.476190476,,0,,4,4,3410.667266,21230.2521,70,6.8
12-03-2020,53,1,3.970291914,0,0.141650517,0,86.76,134.085,111.51,3.333333333,4.125,9.5,-0.083333333,3.153846154,0,,0,,4,8,2841.851162,18975.9257,83,4.7
13-03-2020,64,1,4.158883083,0,0.18859117,0,102.345,176.84,128.835,6.48,4.47826087,46.38461538,6.75,5.769230769,-1.55,,0,,4,9,3388.072805,19797.10182,86,5
