date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,british columbia,british columbia-us,DailyVaccinated,TotalVaccinated,Coronavirus,Mean Temp
01-01-2021,51990,901,10.85880667,6.803505258,,,31.45,96.75,84.475,341,0,78,37784,8865,243.2505719,2533.537331,,,55,8.5
02-01-2021,51990,901,10.85880667,6.803505258,0,0,20.6,43.055,39.93,341,0,78,37784,8865,237.598936,2756.90416,,,61,7.9
03-01-2021,51990,901,10.85880667,6.803505258,0,0,30.89,69.66,62.905,341,0,78,37784,8865,267.3727498,2726.773259,,,66,5.8
04-01-2021,54201,946,10.90045464,6.852242569,0.041647966,0.048737311,32.01,79.1,68.315,341,0,78,37784,8865,228.7330688,2467.133866,,,100,5.8
05-01-2021,54629,954,10.90832016,6.860663671,0.007865519,0.008421102,38.275,100.225,84.575,373,27448,80,41175,7580,200.7257137,2711.178126,,,47,5.2
06-01-2021,55254,962,10.91969601,6.869014451,0.011375859,0.008350779,37.08,103.4,87.71,379,6785,77,41681,7551,227.3802116,2533.916448,,,64,6.7
07-01-2021,56015,970,10.93337479,6.877296071,0.013678776,0.008281621,35.445,98.76,87.33,374,8004,76,42127,7781,229.2029348,2481.939029,,,69,5.6
08-01-2021,56632,988,10.94432948,6.895682698,0.010954684,0.018386626,34.455,106.025,86.51,374,0,76,42127,7781,308.3772903,2794.429742,,,53,4.3
09-01-2021,56632,988,10.94432948,6.895682698,0,0,28.655,64.935,58.67,374,0,76,42127,7781,213.5838209,2627.756883,,,43,3.2
10-01-2021,56632,988,10.94432948,6.895682698,0,0,33.61,79.765,73.425,374,0,76,42127,7781,273.0507142,2126.126067,,,77,6.9
11-01-2021,58107,1010,10.97004142,6.91770561,0.025711942,0.022022912,37.015,83.64,70.655,351,25452,76,45229,6823,220.908391,2599.645566,24139,24139,79,9
12-01-2021,58553,1019,10.97768761,6.926577033,0.007646188,0.008871423,43.61,95.595,83.09,367,5915,77,45999,6472,284.5388907,3338.802624,4070,28209,77,9.7
13-01-2021,59072,1031,10.98651232,6.938284484,0.008824712,0.011707451,43.165,97.14,86.72,381,8859,78,46728,6343,256.2555906,2540.845203,5456,33665,77,7.8
14-01-2021,59608,1038,10.99554507,6.945051064,0.009032754,0.00676658,44.25,101.97,87.875,372,8961,74,47374,3139,295.1372815,2757.258918,0,33665,66,5
15-01-2021,60117,1047,11.00404794,6.953684211,0.00850287,0.008633147,43.58,101.565,89.6,358,9345,75,48205,6118,251.6125023,2343.77353,12594,46259,76,7.5
16-01-2021,60117,1047,11.00404794,6.953684211,0,0,44.395,108.345,102.515,358,0,75,48205,6118,294.1902049,2283.153639,0,46259,58,5.4
17-01-2021,60117,1047,11.00404794,6.953684211,0,0,43.19,109.79,95.165,358,0,75,48205,6118,272.7502578,2270.453757,0,46259,71,5.8
18-01-2021,61447,1078,11.02593029,6.982862751,0.021882351,0.029178541,37.345,85.7,72.575,362,24009,72,50529,5232,300.9434018,2732.712251,13643,59902,57,4
19-01-2021,61912,1090,11.0334693,6.993932975,0.007539007,0.011070224,42.59,94.505,83.415,368,5785,72,51144,5045,281.5123515,2850.749378,2392,62294,100,3.9
20-01-2021,62412,1104,11.04151284,7.006695227,0.008043543,0.012762252,42.6,92.265,88.205,360,9485,76,51893,4810,266.8513051,2923.548986,0,62294,69,5.1
21-01-2021,62976,1119,11.05050898,7.020190708,0.008996137,0.013495481,43.285,102.08,91.02,362,9396,74,52605,4624,263.1039754,2029.844558,7452,69746,66,3.9
22-01-2021,63484,1128,11.05854318,7.028201432,0.008034204,0.008010724,41.69,96.075,88.94,349,9757,68,53115,4604,228.3070825,2499.52939,6168,75914,57,1.5
23-01-2021,63484,1128,11.05854318,7.028201432,0,0,46.045,117.165,103.205,349,0,68,53115,4604,260.6772851,2416.077001,0,75914,52,0
24-01-2021,63484,1128,11.05854318,7.028201432,0,0,43.84,111.355,93.295,349,0,68,53115,4604,252.0281765,3231.629525,0,75914,61,2.3
25-01-2021,64828,1154,11.07949289,7.050989447,0.020949703,0.022788015,38.6,91.39,76.54,343,25048,68,54656,4326,236.2136235,2319.557891,11432,87346,64,3.2
26-01-2021,65234,1168,11.08573608,7.063048163,0.006243197,0.012058716,44.74,100.935,88.31,329,5088,70,55099,4331,236.9632025,2843.776398,5023,92369,55,4.4
27-01-2021,65719,1172,11.09314336,7.06646697,0.007407272,0.003418807,43.74,100.085,89.15,320,11180,66,55564,4345,270.7062445,2389.575434,5756,98125,56,3.2
28-01-2021,66265,1184,11.10141713,7.076653815,0.008273777,0.010186845,42.915,98.19,89.995,309,8942,68,56010,4450,257.433849,2942.56006,6776,104901,57,4.6
29-01-2021,66779,1189,11.10914394,7.080867897,0.007726806,0.004214081,43.465,100.66,92.54,315,9664,74,56455,4479,277.9721653,2272.050849,5665,110566,41,4.8
30-01-2021,66779,1189,11.10914394,7.080867897,0,0,46.56,116.49,106.695,315,0,74,56455,4479,276.8864439,3028.232711,0,110566,50,5.8
31-01-2021,66779,1189,11.10914394,7.080867897,0,0,46.61,121.3,102.29,315,0,74,56455,4479,302.4240254,2608.405442,0,110566,46,6.5
01-02-2021,67937,1210,11.12633608,7.098375639,0.017192145,0.017507742,35.215,75.35,67.545,328,26911,68,57831,4392,241.4109729,2718.458711,9284,119850,52,6.2
02-02-2021,68366,1218,11.1326309,7.104965448,0.00629482,0.00658981,42.1,90.345,83.48,313,5232,71,58352,4260,249.3535678,2795.005005,2509,122359,53,5.4
03-02-2021,68780,1234,11.13866828,7.118016204,0.00603738,0.013050756,41.875,95.555,87.585,303,12763,74,58778,4299,225.4448572,2717.501936,2006,124365,49,4.6
04-02-2021,69245,1240,11.14540622,7.122866659,0.006737935,0.004850454,41.955,94.425,88.685,291,10041,75,59141,4455,263.292884,2697.825357,2890,127255,83,4.9
05-02-2021,69716,1246,11.15218513,7.127693699,0.006778906,0.004827041,42.275,96.4,90.715,292,12763,74,59551,4557,286.6604149,2368.019491,1986,129241,45,6.4
06-02-2021,69716,1246,11.15218513,7.127693699,0,0,46.005,113.305,105.215,292,0,74,59551,4557,296.6997057,2813.89941,0,129241,55,6.8
07-02-2021,69716,1246,11.15218513,7.127693699,0,0,43.12,108.81,93.06,292,0,74,59551,4557,244.70313,2331.652844,0,129241,46,5.5
08-02-2021,70952,1259,11.16975887,7.138073034,0.017573745,0.010379335,38.205,85.19,76.495,289,24818,79,61117,4134,266.5436527,2567.282387,9651,138892,75,0.7
09-02-2021,71387,1263,11.17587106,7.141245122,0.006112188,0.003172088,44.865,96.4,87.77,294,5579,82,61129,4542,200.1087347,2377.222468,1560,140452,69,-0.8
10-02-2021,71856,1269,11.1824194,7.145984468,0.006548336,0.004739345,44.1,97.615,88.77,278,7999,80,61643,4426,230.7566659,2787.925885,1694,142146,74,-1.6
11-02-2021,72305,1278,11.18864856,7.153051635,0.006229167,0.007067167,46.905,106.635,94.735,257,9137,76,62078,4447,197.1756234,2922.529785,3421,145567,100,-1.8
12-02-2021,72750,1288,11.19478419,7.160845907,0.006135623,0.007794272,43.795,95.21,91.275,253,7109,70,62567,4423,177.6002191,2273.065325,3997,149564,64,-3.5
13-02-2021,72750,1288,11.19478419,7.160845907,0,0,46.82,113.49,104.22,253,0,70,62567,4423,234.8838844,3064.907548,0,149564,64,-1.8
14-02-2021,72750,1288,11.19478419,7.160845907,0,0,45.85,118.75,95.4,253,0,70,62567,4423,228.984607,2809.013907,0,149564,72,0.1
15-02-2021,72750,1288,11.19478419,7.160845907,0,0,41.08,98.685,80.195,234,22135,69,65605,3976,227.6401131,2723.894026,4932,154496,88,2.4
16-02-2021,74283,1314,11.2156374,7.180831199,0.020853217,0.019985292,44.14,94.815,85.815,241,5053,68,65618,4393,214.0660351,2505.22213,1089,155585,96,5.7
17-02-2021,74710,1317,11.22136923,7.183111702,0.005731829,0.002280503,43.005,96.6,89.11,230,8060,66,66167,4305,252.9011804,2901.19994,2212,157797,67,3.3
18-02-2021,75327,1321,11.22959392,7.186144305,0.008224684,0.003032603,40.405,93.315,88.77,224,8211,63,66603,4317,204.0803776,2576.736118,2090,159887,60,4
19-02-2021,75835,1327,11.23631521,7.190676034,0.006721291,0.00453173,41.25,93.195,91.375,226,7743,61,67008,4347,218.3186789,2632.404112,3095,162982,33,4.7
20-02-2021,75835,1327,11.23631521,7.190676034,0,0,46.62,114.94,106.87,226,0,61,67008,4347,236.3548976,3206.54618,0,162982,45,2.9
21-02-2021,75835,1327,11.23631521,7.190676034,0,0,45.185,106.89,81.35,226,0,61,67008,4347,263.8678378,2458.40151,0,162982,59,7.9
22-02-2021,77263,1335,11.25497047,7.196686571,0.018655259,0.006010537,40.21,102.26,78.63,226,0,61,67008,4347,221.0911133,2620.627242,0,162982,90,8.1
23-02-2021,77822,1336,11.26217945,7.197435354,0.007208981,0.000748783,38.58,82.17,66.76,231,26578,74,68705,4189,236.1090231,3080.081432,8773,171755,77,4.5
