date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,recreation,essentials,parks,station_transit,workplace,resedential,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,ontario,ontario-us,Coronavirus,Mean Temp
01-03-2020,15,0,2.708050201,#NAME?,,,107.865,142.515,131.185,0.914893617,-2.391304348,3.892857143,1.266666667,-6.204081633,1.456521739,,0,,2,1,4054.17012,33819.05379,27,-1.6
02-03-2020,15,0,2.708050201,#NAME?,0,,91.61,146.33,122.39,10.91304348,6.977272727,45.75,18.36666667,7.25,-2.034482759,,0,,3,0,3856.415933,38626.46579,26,0
03-03-2020,20,0,2.995732274,#NAME?,0.287682072,,75.605,100.95,92.24,12.91304348,8.046511628,50.23809524,14.5862069,4.80952381,-1.52,,0,,3,0,4379.435088,39264.38858,32,3.1
04-03-2020,20,0,2.995732274,#NAME?,0,,92.685,111.58,99.875,2,3.282608696,14.38095238,2.566666667,2.714285714,-0.02173913,,0,,3,1,3904.173578,45487.06383,40,-1.2
05-03-2020,22,0,3.091042453,#NAME?,0.09531018,,93.115,108.41,104.385,1.47826087,6.804347826,1.291666667,1.7,3.163265306,-0.326086957,,0,,3,1,4710.837972,44285.06444,55,-5.6
06-03-2020,28,0,3.33220451,#NAME?,0.241162057,,87.8,94.725,95.905,-7.02173913,-0.826086957,-14.22222222,-3.833333333,-0.959183673,2.347826087,,0,,3,1,5528.941454,31665.08964,70,-4.5
07-03-2020,28,0,3.33220451,#NAME?,0,,89.735,92.63,93.455,-17.34782609,-13.51111111,-21.40740741,-9.533333333,-10.54,6.152173913,,0,,3,2,4276.751708,40405.40621,81,-6.8
08-03-2020,32,0,3.465735903,#NAME?,0.133531393,,100.095,119.225,124.055,-6.85106383,-3,-13.27586207,2.066666667,-4.081632653,2.977272727,,0,,3,3,4495.915661,37509.79041,79,-11
09-03-2020,35,0,3.555348061,#NAME?,0.089612159,,92.6,125.9,116.195,10.47826087,9.431818182,13.69230769,17.56666667,8.636363636,-1.533333333,,0,,3,5,4155.670259,39362.76445,100,-5
10-03-2020,37,0,3.610917913,#NAME?,0.055569851,,76.6,92.505,86.8,14.15217391,12.69767442,24.58333333,8.24137931,6.214285714,-1.153846154,,0,,3,8,4699.042589,40937.47423,93,1.6
11-03-2020,42,1,3.737669618,0,0.126751706,inf,94.71,104.36,101.035,4.282608696,5.47826087,-4.818181818,1.033333333,3.571428571,0.304347826,,0,,3,12,2235.544409,22810.99944,19,-0.1
12-03-2020,59,1,4.077537444,0,0.339867826,0,96.645,110.965,110.445,2.326086957,2.934782609,-8.434782609,1.366666667,4.081632653,0.108695652,,0,,3,12,1864.686507,35178.42899,24,-1.6
13-03-2020,79,1,4.369447852,0,0.291910409,0,99.895,120.17,109.37,4.260869565,4.434782609,0.923076923,3.533333333,4.06122449,-0.108695652,,0,,3,17,2109.053903,26927.46267,21,-8.7
14-03-2020,103,1,4.634728988,0,0.265281136,0,105.285,128.715,115.03,7.065217391,6.108695652,14.69565217,3.833333333,1.469387755,0.086956522,,0,,3,17,2316.478023,22108.94488,22,-14.9
15-03-2020,145,1,4.976733742,0,0.342004754,0,100.67,124.77,118.815,-1.638297872,-4.042553191,-7.206896552,0.233333333,4.387755102,0.934782609,,0,,4,18,2568.312949,27262.53502,25,-5.8
16-03-2020,177,1,5.176149733,0,0.19941599,0,92.825,140.775,113.735,15.39130435,9.136363636,41.41666667,15.26666667,9.511627907,-2.066666667,,0,,4,24,2366.003355,29947.68,26,0.1
17-03-2020,189,1,5.241747015,0,0.065597282,0,74.945,104.2,87.24,15.7173913,9.860465116,74.86363636,11.44827586,5,-1.230769231,,0,,4,24,2574.93788,24951.31299,24,-3.1
18-03-2020,214,1,5.365976015,0,0.124229,0,93.355,114.98,98.105,5.282608696,5.108695652,31.6,0.766666667,3.367346939,0.239130435,,0,,4,28,2139.261273,27755.65932,26,1.9
19-03-2020,258,2,5.552959585,0.693147181,0.18698357,0.693147181,90.98,103.965,100.925,2.282608696,4.152173913,-3,-1.133333333,3.204081633,0.717391304,,0,,5,30,2187.32546,26083.14752,31,-3.9
20-03-2020,318,2,5.762051383,0.693147181,0.209091798,0,87.105,102.415,97.98,5.891304348,7.673913043,1.62962963,0.466666667,3.387755102,0.304347826,,0,,5,32,2149.161506,26938.93686,35,-7.8
21-03-2020,377,3,5.932245187,1.098612289,0.170193805,0.405465108,79.93,97.685,94.905,10.65217391,31.8,7.086956522,-0.433333333,3.673469388,-0.02173913,,0,,5,36,2375.123828,27511.46845,52,-5
22-03-2020,425,6,6.052089169,1.791759469,0.119843981,0.693147181,74.935,95.97,95.735,0.85106383,36.45652174,-11.93548387,-8.1,-0.857142857,2.533333333,,0,,5,53,2562.483631,27517.25618,100,0.7
23-03-2020,503,6,6.22059017,1.791759469,0.168501001,0,58.7,88.475,79.795,-0.717391304,26.54545455,11.64,-2.266666667,3.568181818,1.931034483,,0,,5,73,2188.816568,24176.73887,96,4.5
24-03-2020,588,8,6.376726948,2.079441542,0.156136778,0.287682072,46.105,64.99,59.08,-3.181818182,16.20930233,43.95652174,-13.75862069,-3.30952381,2.68,,0,,5,97,2057.471491,28643.14316,82,4.3
25-03-2020,688,13,6.533788838,2.564949357,0.15706189,0.485507816,43.855,62.79,64.295,-5.477272727,31.15217391,14.76190476,-22.4,-23.18367347,7.644444444,,8465,,5,139,2186.762823,28243.14775,80,2.4
26-03-2020,858,15,6.754604099,2.708050201,0.220815262,0.143100844,34.185,51.87,56.6,-24.81818182,17.76086957,2.772727273,-27.03333333,-29.78,11,,1713,,5,171,2453.991474,31301.06919,88,-0.8
27-03-2020,993,18,6.900730664,2.890371758,0.146126565,0.182321557,30.265,51.145,53.88,-31.46666667,4.869565217,5.25,-31.03333333,-34.82352941,13.2,,993,,5,183,2290.540003,27434.53318,79,-4.9
28-03-2020,1144,18,7.042286172,2.890371758,0.141555508,0,27.765,49.985,51.995,-32.02173913,7.369565217,16.19047619,-36,-37.34,14.62222222,,2726,,5,208,2239.24346,35431.17676,76,-7.2
29-03-2020,1355,19,7.211556733,2.944438979,0.169270561,0.054067221,25.905,47.47,52.555,-39.72340426,-5.065217391,-15.76666667,-43.23333333,-40.08,18.23809524,,2753,,5,251,2314.631388,31035.5638,73,-8.9
30-03-2020,1706,33,7.441906728,3.496507561,0.230349995,0.552068582,23.41,42.625,43.54,-40.60869565,-6.909090909,21.83333333,-33.6,-27.65217391,11.16666667,,2861,,5,311,2611.955273,26796.85758,70,-8.9
31-03-2020,1966,33,7.583756301,3.496507561,0.141849573,0,20.36,42.02,34.905,-43.90697674,-16.81395349,18.73913043,-46,-32.43181818,10.2,,3873,,6,368,2164.432779,25965.68483,70,-3.1
01-04-2020,2392,37,7.779885115,3.610917913,0.196128814,0.114410351,20.905,35.985,40.5,-40.77272727,-7,-35.95652174,-49.16129032,-45.32,18,,3036,,8,411,2019.589594,30064.03008,70,5.6
02-04-2020,2793,53,7.934871566,3.970291914,0.154986451,0.359374001,20.005,41.95,41.78,-43.66666667,-10.06521739,-2.476190476,-47.32258065,-47.84,18.45238095,,2086,,8,489,1937.030257,28717.9328,65,8.3
03-04-2020,3255,67,8.087947555,4.204692619,0.153075989,0.234400706,18.975,40.55,38.665,-50.30434783,-20.2173913,12.75,-50.16666667,-51.7254902,20.5,,3951,,8,572,2188.274725,31397.33426,59,6.6
04-04-2020,3630,94,8.196987927,4.543294782,0.109040373,0.338602163,18.41,39.1,38.28,-50.47826087,-18.15555556,-9.227272727,-55.43333333,-52.37254902,21.63414634,,3178,,8,667,2456.809858,26980.50142,62,8.3
05-04-2020,4038,119,8.303504799,4.779123493,0.106516872,0.235828711,18.745,46.94,43.825,-49.08510638,-18.17391304,12.51851852,-57.06666667,-51.46,22.1025641,,2915,,8,835,2124.444984,28240.64059,62,6.1
06-04-2020,4347,132,8.377241231,4.882801923,0.073736432,0.103678429,16.745,36.575,34.61,-53.60869565,-23.43181818,-12.53571429,-52.83333333,-39.60869565,14.52380952,,2482,,8,967,2588.81488,28531.75027,60,7
07-04-2020,4726,153,8.460834458,5.030437921,0.083593227,0.147635999,15.745,29.405,28.17,-54.3255814,-30.62790698,-23.68965517,-61.36666667,-41.36956522,12.78947368,,2040,,8,1117,2605.968547,26616.09117,58,9.1
08-04-2020,5276,174,8.570923514,5.159055299,0.110089056,0.128617378,17.89,38.67,37.915,-51.18181818,-22.66666667,-28.2173913,-59.16666667,-54.05882353,20.97435897,,6114,,8,1324,2172.431567,29437.80819,58,9.7
09-04-2020,5759,200,8.658519128,5.298317367,0.087595614,0.139262067,18.355,40.78,40.735,-44.8,-12.67391304,-18.12,-55,-53.66666667,20.24390244,,0,,431,1241,1969.922369,24198.54678,49,5.1
10-04-2020,6237,222,8.738254577,5.402677382,0.079735449,0.104360015,17.635,44.82,40.97,-45.68888889,-17.7173913,11.64,-54.36666667,-53.7254902,20.52380952,,2443,,534,1374,2048.5412,22936.66912,49,3.9
