date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,ontario,ontario-us,DailyVaccinated,TotalVaccinated,Ontario Vaccine,Mean Temp
01-01-2021,182159,4530,12.11263521,8.418477218,,,25.2,65.8,79.205,755,0,286,145173,19879,669.2921496,13324.15357,,,79,-1.3
02-01-2021,187998,4625,12.1441866,8.43923165,0.031551392,0.020754431,16.47,29.35,35.7,823,152759,285,147178,19861,701.3971867,13940.19527,,,84,-0.7
03-01-2021,190962,4650,12.15982973,8.444622499,0.015643131,0.005390849,20.665,39.7,47.43,823,0,285,147178,19861,752.188953,14954.67448,,,64,0.2
04-01-2021,194232,4679,12.1768086,8.450839691,0.016978865,0.006217192,23.13,51.61,53.18,304,0,285,151562,19891,587.9030564,13397.47325,,,55,0.2
05-01-2021,197360,4730,12.19278475,8.461680481,0.015976151,0.010840791,25.615,57.09,59.36,1177,0,323,153799,20558,547.9888594,14176.55736,,,55,0.5
06-01-2021,200626,4767,12.20919776,8.469472455,0.016413006,0.007791974,27.105,67.825,70.635,1235,112887,337,156012,21617,594.7680458,12643.64249,,,70,0.4
07-01-2021,204145,4856,12.2265858,8.487970333,0.017388047,0.018497878,26.605,67.93,71.77,1235,0,337,156012,21617,558.3198953,14209.75736,,,51,-3.9
08-01-2021,208394,4882,12.2471858,8.493310251,0.020599993,0.005339918,23.965,69.735,73.075,1003,195829,322,160526,22847,497.3500715,12881.0769,,,65,-6.4
09-01-2021,211837,4922,12.26357239,8.501470231,0.016386592,0.00815998,19.77,39.175,42.95,998,49803,329,162701,23611,511.6126633,12275.08051,,,59,-0.5
10-01-2021,215782,4983,12.28202392,8.513787398,0.018451528,0.012317167,25.645,62.68,62.195,1190,0,333,164775,29457,586.230673,12572.6196,42419,42419,61,-1.9
11-01-2021,219120,5012,12.2973748,8.519590316,0.015350886,0.005802918,26.265,56.94,55.165,1347,187355,352,166790,30570,652.8538622,13931.36845,7611,50030,55,-3
12-01-2021,222023,5053,12.31053626,8.527737405,0.013161455,0.008147089,32.415,71.525,69.84,1463,51045,361,169795,30831,656.1008715,12771.09919,10350,60380,40,-1.7
13-01-2021,224984,5127,12.32378457,8.542275972,0.013248308,0.014538566,31.08,73.45,74.36,1472,65772,363,172571,31574,585.3359938,13554.48145,12251,72631,72,0.9
14-01-2021,228310,5189,12.33845963,8.554296279,0.014675066,0.012020308,30.96,72.765,72.195,1446,71481,369,175309,33085,447.9174185,14254.76956,0,72631,79,1.9
15-01-2021,231308,5289,12.35150543,8.573384471,0.013045801,0.019088192,30.01,67.205,72.74,1457,72900,382,178224,33613,602.8911346,12388.72032,30632,103263,100,3.4
16-01-2021,234364,5340,12.36463074,8.582980932,0.013125307,0.009596461,31.61,74.635,81.375,1483,62308,388,180720,35062,624.0889809,14431.41453,9983,113246,87,1.1
17-01-2021,237786,5409,12.37912639,8.595819512,0.014495647,0.01283858,28.995,65.655,69.185,1563,46403,387,183476,30632,556.790003,15185.49405,8859,122105,83,0.8
18-01-2021,240364,5433,12.38990972,8.600246747,0.010783332,0.004427235,25.915,60.775,56.24,1701,44802,385,186829,30141,555.8125137,13907.87971,11448,133553,72,-1.9
19-01-2021,242277,5479,12.39783698,8.608677882,0.007927259,0.008431135,31.585,67.42,67.055,1674,50931,385,190221,29636,611.3777053,12924.95777,11231,144784,72,-1.9
20-01-2021,244932,5568,12.4087359,8.624791202,0.010898921,0.01611332,29.04,66.165,68.38,1657,71169,388,193814,29307,638.0784204,14590.74059,14237,159021,54,-5
21-01-2021,247564,5614,12.41942441,8.633018757,0.010688513,0.008227555,29.93,67.17,72.19,1647,76472,387,197194,28825,487.8392933,12547.94073,15609,174630,67,0.7
22-01-2021,250226,5701,12.43011979,8.648396877,0.010695375,0.01537812,27.235,59.765,62.62,1632,73875,397,200406,28618,653.2725182,15509.4722,14460,189090,51,-3.4
23-01-2021,252585,5753,12.4395031,8.657476737,0.009383316,0.00907986,26.535,68.5,71.705,1570,60183,395,203484,30880,621.1837149,14501.63959,11007,200097,44,-8.7
24-01-2021,255002,5803,12.44902667,8.666130304,0.009523563,0.008653567,24.51,66.75,57.255,1571,40301,394,206310,28621,593.9892967,13932.11751,9691,209788,49,-5
25-01-2021,256960,5846,12.45667571,8.673512946,0.007649042,0.007382641,23.82,57.415,51.56,1626,34531,400,209183,27615,537.7674315,12917.90705,14346,224134,48,-0.9
26-01-2021,258700,5909,12.46342437,8.684231891,0.006748658,0.010718946,28.11,61.94,63.39,1598,54307,395,212897,26467,588.5070664,14107.01291,13784,237918,42,-2.6
27-01-2021,260370,5958,12.46985898,8.692490133,0.006434607,0.008258242,27.865,63.1,65.16,1533,70256,388,215887,26063,592.1909691,13579.55141,15899,253817,61,-6.8
28-01-2021,262463,6014,12.4778654,8.701845364,0.008006423,0.00935523,26.565,60.715,65.33,1512,71750,383,219262,25263,667.0550871,12272.72598,11168,264985,49,-10.8
29-01-2021,264300,6072,12.4848401,8.711443319,0.006974702,0.009597956,27.14,65.545,67.335,1501,63453,395,222287,24545,633.0243237,11734.33982,11161,276146,38,-10.9
30-01-2021,266363,6145,12.49261532,8.723394022,0.007775219,0.011950703,28.525,71.135,76.97,1436,48947,392,225046,24153,505.2289579,14589.8494,4427,280573,40,-8
31-01-2021,268211,6188,12.49952926,8.730367212,0.006913944,0.00697319,25.485,61.655,65.715,1398,35968,397,227494,23620,652.4915205,14053.13842,5537,286110,42,-7.9
01-02-2021,270180,6224,12.50684368,8.736168066,0.007314419,0.005800854,23.7,52.49,53.075,1466,30717,383,229755,23036,559.8412788,12618.0255,9707,295817,34,-7.5
02-02-2021,270925,6238,12.50959731,8.738414897,0.002753626,0.002246831,29.42,65.55,64.675,1382,55191,377,232480,21932,549.3121407,12327.64375,9513,305330,31,-5.3
03-02-2021,272097,6305,12.5139139,8.749098248,0.004316591,0.010683351,26.94,60.96,65.405,1338,64664,358,234971,21478,543.1780128,11280.86918,11910,317240,46,-2.9
04-02-2021,273660,6393,12.51964174,8.762958921,0.00572784,0.013860672,27.535,69.96,69.01,1291,69040,360,237871,20357,472.2256131,14578.73417,10215,327455,25,-1.5
05-02-2021,275330,6438,12.52572566,8.769973212,0.006083918,0.007014291,28.005,61.845,69.35,1273,59594,353,240494,19724,537.5065597,14839.44934,9373,336828,39,-3.2
06-02-2021,276718,6483,12.53075422,8.776938645,0.005028559,0.006965433,28.16,67.47,78.13,1159,49352,356,242807,19216,489.8801965,13353.02503,2813,339641,30,-7.7
07-02-2021,278207,6505,12.53612072,8.780326391,0.005366504,0.003387746,27.36,62.625,68.905,1158,30359,354,244939,19017,538.1509312,14025.01065,2259,341900,32,-9.8
08-02-2021,279472,6538,12.54065739,8.785386587,0.004536668,0.005060196,24.83,55.145,56.815,1192,28552,341,247236,17451,411.4493974,13580.67564,2715,344615,36,-10
09-02-2021,280494,6555,12.54430761,8.787983396,0.003650226,0.002596809,30.555,67.235,68.31,1066,52418,336,248981,16811,449.1606142,14422.59794,3716,348331,25,-7.1
10-02-2021,281566,6596,12.54812216,8.794218684,0.003814544,0.006235287,30.22,64.08,67.795,1101,64467,323,250937,16330,430.2022505,16103.65101,6724,355055,23,-9.3
11-02-2021,282511,6614,12.55147277,8.796943894,0.00335061,0.00272521,29.875,68.885,70.12,1043,62710,325,253170,15819,493.9603656,13924.15845,7694,362749,40,-8
12-02-2021,283587,6632,12.55527423,8.799661697,0.003801467,0.002717803,30.73,69.37,73.58,1021,62341,325,254966,15269,500.2530216,14604.30546,9917,372666,36,-11.3
13-02-2021,284887,6651,12.55984789,8.802522498,0.004573656,0.002860801,30.455,69.61,78.46,926,51658,335,256983,14719,555.7402407,12613.61828,6518,379184,49,-11.5
14-02-2021,285868,6693,12.56328544,8.808817483,0.003437555,0.006294985,29.26,62.705,70.345,901,28303,335,258603,14331,552.2901037,12862.43099,6987,386171,43,-9.4
15-02-2021,285868,6693,12.56328544,8.808817483,0,0,26.345,55.165,55.925,909,30798,318,259991,13948,445.2835627,14217.80503,12462,398633,23,-7
16-02-2021,287736,6719,12.56979867,8.812694613,0.006513227,0.00387713,30.66,63.505,66.7,948,52504,313,261700,13270,444.0256486,13962.33169,13486,412119,37,-11.2
17-02-2021,288583,6729,12.57273802,8.814181823,0.002939346,0.00148721,30.47,65.16,69.845,883,68812,299,263044,12853,485.3116665,14059.14257,14717,426836,55,-11.2
18-02-2021,289621,6773,12.57632845,8.820699399,0.003590432,0.006517576,30.365,67.94,72.425,763,62012,295,264459,12496,551.8222351,14545.20904,15605,442441,53,-4.9
19-02-2021,290771,6820,12.58029129,8.827614751,0.003962844,0.006915352,31.12,66.98,74.63,786,58760,287,265893,12343,463.6181711,12607.92523,14506,456947,55,-4.9
