date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,recreation,essentials,parks,station_transit,workplace,resedential,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,quebec,quebec-us,Coronavirus,Mean Temp
01-03-2020,1,0,0,#NAME?,,,123.91,144.905,129.805,0,-2.362318841,0.12,0.347826087,1.368421053,0.692307692,,0,,0,0,2293.059609,5793.970205,94,-9.6
02-03-2020,1,0,0,#NAME?,0,,104.335,148.165,116.23,6.446428571,2.898305085,37.15384615,4.631578947,3.261904762,-0.571428571,,0,,0,0,2376.722544,6160.991824,70,-1.5
03-03-2020,1,0,0,#NAME?,0,,83.045,98.845,88.17,13.63043478,11.28571429,55.95652174,5.777777778,4.628571429,-1.444444444,,0,,0,0,2865.711385,5832.6157,100,2.7
04-03-2020,1,0,0,#NAME?,0,,98.02,104.19,99.11,2.113636364,1.083333333,23.52941176,-0.714285714,3.474358974,-0.074074074,,0,,0,1,2379.154317,7603.727083,89,1.6
05-03-2020,2,0,0.693147181,#NAME?,0.693147181,,101.3,110.67,105.355,3.638297872,4.1,5.833333333,-0.428571429,3.3375,-0.018518519,,0,,0,1,911.3637084,5654.394009,12,0
06-03-2020,3,0,1.098612289,#NAME?,0.405465108,,101.065,104.375,102.595,1.632653061,5.016666667,-7.791666667,-2.142857143,2,0.537037037,,0,,0,1,1047.043516,4756.79543,13,-2.9
07-03-2020,3,0,1.098612289,#NAME?,0,,104.725,100.725,97.9,-26.62745098,-20.890625,-33.54545455,-16.95454545,-14.95121951,8.918367347,,0,,0,1,1130.173139,5337.156426,12,-5.2
08-03-2020,4,0,1.386294361,#NAME?,0.287682072,,119.31,134.36,127.355,-1.392857143,-0.027777778,-12.40740741,6.454545455,1.092105263,0.942307692,,0,,0,1,959.9870246,5776.78817,11,1.6
09-03-2020,5,0,1.609437912,#NAME?,0.223143551,,110.295,149.365,112.825,6.339285714,6.883333333,5.655172414,3.8,3.975609756,-0.523809524,,0,,0,1,800.1225933,5060.49857,15,5.4
10-03-2020,5,0,1.609437912,#NAME?,0,,88.56,100.73,90.205,16.19148936,13.06122449,31.2173913,3.666666667,4.571428571,-2,,0,,0,1,853.7443041,4495.914975,16,1.7
11-03-2020,8,0,2.079441542,#NAME?,0.470003629,,104.325,110.73,104.91,9.488372093,5.133333333,2.166666667,-7.571428571,-13.61445783,2.46,,0,,0,2,844.3269767,5205.169111,16,-3.3
12-03-2020,17,0,2.833213344,#NAME?,0.753771802,,108.655,121.925,109.955,13.72727273,7.016949153,15.9375,-7.761904762,-13.5060241,1.788461538,,0,,0,3,877.0250555,5291.175954,18,-0.7
13-03-2020,17,0,2.833213344,#NAME?,0,,109.965,121.06,110.055,8.354166667,1.55,-4.590909091,-11.13636364,-15.03614458,2.846153846,,0,,0,3,930.1016044,5929.99506,23,4.6
14-03-2020,24,0,3.17805383,#NAME?,0.344840486,,115.4,138.64,118.47,14.1372549,5.333333333,24.17647059,-5.681818182,-14.19512195,1.673076923,,0,,0,4,817.2412541,4729.377966,27,1.4
15-03-2020,39,0,3.663561646,#NAME?,0.485507816,,111.955,137.23,118.095,2.053571429,-5.115942029,-3.875,-9.545454545,-14.8875,3.244897959,,0,,0,5,985.6075437,5041.91259,42,-4.6
16-03-2020,50,0,3.912023005,#NAME?,0.248461359,,100.155,139.195,107.87,6.351851852,0.661016949,32.34615385,1.157894737,2.585365854,-0.619047619,,0,,0,5,961.8365335,5643.248356,98,-4
17-03-2020,74,0,4.304065093,#NAME?,0.392042088,,84.83,101.935,86.26,11.02083333,6.367346939,18.23076923,-0.222222222,2.805555556,-1,,0,,0,8,793.7754795,4367.286854,100,3.1
18-03-2020,94,1,4.543294782,0,0.239229689,inf,100.995,108.78,98.17,1.909090909,-2.133333333,7,-3.636363636,-0.620253165,1.203703704,,0,,0,17,944.8591432,4290.649831,78,0
19-03-2020,121,1,4.795790546,0,0.252495763,0,101.095,106.655,103.865,-8.893617021,-9.816666667,-28.82608696,-10.59090909,-4.074074074,4.094339623,,0,,0,17,944.2851889,4655.71703,81,4.1
20-03-2020,139,1,4.934473933,0,0.138683388,0,98.975,115.375,105.6,3.551020408,1.466666667,-9.869565217,-3.238095238,2.679012346,0.481481481,,0,,0,24,837.9892069,5390.578016,86,7
21-03-2020,181,4,5.198497031,1.386294361,0.264023098,1.386294361,89.9,111.245,102.34,9.823529412,21.83076923,-5.526315789,-2.818181818,3.6125,-0.6,,0,,0,39,869.5595438,4929.775112,81,-4.7
22-03-2020,219,4,5.38907173,1.386294361,0.190574699,0,76.925,100.77,92.055,-12.89285714,20.65714286,-40.89285714,-23.33333333,-10.16455696,7.604166667,,6202,,0,50,733.6428468,5726.790301,77,-5
23-03-2020,628,4,6.442540166,1.386294361,1.053468437,0,65.825,99.955,78.855,-14.84313725,6.533333333,-15.0625,-18.89473684,0.093023256,5.2,,1599,,0,74,935.0180012,5309.446237,71,-2.6
24-03-2020,1040,4,6.946975992,1.386294361,0.504435826,0,52.14,69.16,59.945,-14.70454545,5.755102041,1.703703704,-21.11111111,-3.861111111,4.411764706,,1133,,1,92,872.3174155,5298.118257,63,2.6
25-03-2020,1339,6,7.199678346,1.791759469,0.252702354,0.405465108,50.23,69.425,67.92,-19.19047619,5.13559322,-1.631578947,-37.22727273,-21.68674699,9,,1517,,1,119,686.5969045,4374.427319,65,3
26-03-2020,1629,8,7.395721609,2.079441542,0.196043263,0.287682072,39.27,55.065,58.18,-35.76744186,-4.216666667,-33.13043478,-47.68181818,-28.37349398,13.47916667,,0,,1,137,872.3891585,4975.447323,64,7.1
27-03-2020,2021,18,7.611347717,2.890371758,0.215626109,0.810930216,37.045,58.945,57.01,-33.42222222,4.183333333,-1.684210526,-46.13636364,-31.26190476,13.875,,484,,1,176,946.4280302,4780.33665,63,3.5
28-03-2020,2498,22,7.823245691,3.091042453,0.211897973,0.200670695,32.65,54.505,55.43,-37.82352941,1.044776119,-2.263157895,-46.52173913,-33.75294118,15.60416667,,1133,,1,214,903.0391417,5442.820412,56,3.2
29-03-2020,2840,22,7.951559331,3.091042453,0.12831364,0,31.04,48.93,54.185,-49.03571429,-13.33802817,-44.51851852,-53.375,-35.76470588,19.76923077,,1659,,1,623,1028.82623,5148.455373,53,4.9
30-03-2020,3430,25,8.14031554,3.218875825,0.188756209,0.127833372,27.63,45.32,42.17,-52.77358491,-18.11864407,-20.77419355,-40.95238095,-28.84782609,14.29411765,,2036,,1,1035,715.4606349,5173.27548,48,5
31-03-2020,4162,31,8.333751007,3.433987204,0.193435467,0.21511138,24.43,39.555,34.27,-53,-22.75,-12.4137931,-44.42105263,-30.06976744,10.93333333,,15208,,1,1332,840.3875729,5366.334339,52,3.8
01-04-2020,4611,33,8.436200032,3.496507561,0.102449025,0.062520357,24.75,41.19,45.335,-39.58536585,-11.85,-42.81818182,-56.13043478,-38.73809524,16.30952381,,5134,,1,1620,823.6731191,5067.815227,48,2.6
02-04-2020,5518,36,8.615770755,3.583518938,0.179570723,0.087011377,22.245,44.94,42.585,-48.02272727,-18.96774194,-17.38888889,-56.30434783,-46.46067416,20,,5487,,29,1974,873.5395488,5309.339201,45,3.9
03-04-2020,6101,61,8.716207971,4.110873864,0.100437216,0.527354926,20.9,43.935,36.485,-58.08163265,-26.08474576,-22.08695652,-61.13043478,-56.8,24.74193548,,11252,,29,2447,762.0654066,5721.787552,39,6.8
04-04-2020,6997,75,8.853236765,4.317488114,0.137028794,0.206614249,19.785,40.59,36.24,-58.23076923,-23.6557377,-35,-63.73913043,-57.61111111,26.06451613,,5673,,84,2734,807.5224762,5345.294091,38,7.4
05-04-2020,7944,94,8.980172206,4.543294782,0.126935441,0.225806669,20.25,50.19,40.585,-61.17857143,-28.55555556,-16.2,-59.08695652,-56.96551724,27.14285714,,7398,,84,3321,102.5008884,1788.948526,63,6.5
06-04-2020,8580,121,9.057189192,4.795790546,0.077016987,0.252495763,18.84,41.995,32.91,-63.71698113,-34.46153846,-22.06060606,-49.65,-42.77083333,17,,7226,,84,4047,116.1080732,1528.965309,65,5.6
07-04-2020,9340,150,9.142061531,5.010635294,0.084872339,0.214844748,16.01,24.785,25.125,-69.0212766,-45.6,-67.60714286,-65.2,-43.11363636,14.54545455,,2322,,155,4423,108.846334,1518.90529,85,6.1
08-04-2020,10031,175,9.213435577,5.164785974,0.071374046,0.15415068,19.385,32.455,33.285,-57.40909091,-34.25925926,-51.59090909,-69.30434783,-58.70454545,24.37931034,,3950,,224,5258,98.92132245,1536.372463,100,4.6
09-04-2020,10912,213,9.29761838,5.361292166,0.084182803,0.196506192,20.56,45.915,36.85,-52.06666667,-23.78947368,1.055555556,-61.91304348,-58.42222222,24.03225806,,8390,,306,5734,109.8558255,1961.117744,98,3.4
10-04-2020,11677,241,9.365376374,5.484796933,0.067757994,0.123504768,19.325,40.545,36.24,-53.58333333,-24.9137931,-31.8,-64.08695652,-58.85555556,25.48387097,,6303,,437,6485,126.5991083,1849.746006,73,4
11-04-2020,12292,289,9.416703923,5.666426688,0.051327549,0.181629755,18.73,36.62,34.355,-58.84313725,-28.40983607,-49.56521739,-70.43478261,-59.50561798,27.62068966,,4677,,464,7386,122.0848401,1626.35557,90,3.2
12-04-2020,12846,328,9.460787758,5.793013608,0.044083835,0.12658692,19.37,41.99,37.4,-62.03571429,-30.9375,-49.20689655,-67.20833333,-58.85057471,29.35714286,,4272,,611,7848,116.2319646,1914.721541,79,6.8
13-04-2020,13557,360,9.514658298,5.886104031,0.05387054,0.093090423,17.65,48.905,32.65,-61.39622642,-31.66037736,-23.79411765,-45.63157895,-43.875,17.28571429,,3943,,720,8470,105.2166034,1849.644875,76,10.1
14-04-2020,14248,435,9.564371825,6.075346031,0.049713527,0.189242,15.775,32.075,24.39,-83.58536585,-81.41860465,-47.72413793,-66.52631579,-50.66666667,15.9,,5109,,827,9029,119.8037483,1858.976963,70,4.9
15-04-2020,14860,487,9.606428318,6.188264123,0.042056493,0.112918092,18.985,45.105,35.27,-47.13953488,-22.5,-4,-62.43478261,-57.85227273,23.19354839,679,4538,196,827,9872,112.9077543,1500.865062,56,2.2
16-04-2020,15857,630,9.671366322,6.445719819,0.064938004,0.257455696,18.145,47.325,35.63,-52.75555556,-25.36363636,-3.055555556,-62.69565217,-59,24.67741935,733,4293,186,1341,10095,128.0979097,1485.056112,43,1.1
17-04-2020,16798,688,9.729015111,6.533788838,0.057648788,0.088069019,18.39,44.33,36.31,-52.9375,-25.46428571,-23.69565217,-63.13043478,-59.3956044,25.61290323,778,4677,211,1563,10440,100.5592825,1536.825627,68,1.4
