date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,quebec,quebec-us,DailyVaccinated,TotalVaccinated,Quebec Vaccine,Mean Temp
01-01-2021,202641,8226,12.21919122,9.015055149,,,40.555,88.225,96.66,1052,0,146,158201,19758,242.5831562,1827.34849,,,57,-4
02-01-2021,202641,8226,12.21919122,9.015055149,0,0,29.645,61.355,65.705,1052,0,146,158201,19758,277.0113999,1946.885746,,,38,-2.9
03-01-2021,210304,8347,12.25630938,9.029657472,0.037118162,0.014602323,19.48,29.645,35.795,1124,34529,150,166066,20804,274.6851148,1671.069526,,,100,-2.4
04-01-2021,212850,8379,12.26834297,9.033483855,0.012033589,0.003826383,24.495,41.09,49.91,1131,6848,148,168061,21126,174.2741338,1561.913995,,,59,-2.4
05-01-2021,215358,8441,12.28005704,9.040856064,0.011714067,0.007372209,27.08,56.005,56.53,1211,7966,152,170045,21612,207.0556555,1552.00206,,,14,-3.2
06-01-2021,217999,8488,12.29224575,9.04640868,0.012188716,0.005552616,29.4,62.3,61.235,1175,0,165,172047,22367,232.1561182,1903.919656,,,14,-4.2
07-01-2021,220518,8562,12.3037346,9.055089087,0.011488849,0.008680406,31.305,67.775,68.775,1175,0,165,172047,22367,224.9773293,1843.091357,,,0.0001,-5.8
08-01-2021,223106,8606,12.31540227,9.060214913,0.011667671,0.005125827,32.07,70.095,72.03,1175,0,165,172047,22367,258.5727217,1964.316951,,,48,-7.8
09-01-2021,226233,8647,12.32932072,9.064967719,0.013918447,0.004752806,26.805,66.56,62.905,1225,0,179,179456,22501,170.6171533,1768.730514,,,0.0001,-5.9
10-01-2021,228821,8686,12.34069532,9.069467813,0.011374597,0.004500094,23.675,39.07,44.78,1294,41503,188,181205,23264,224.1870474,2097.32751,30473,30473,12,-8.8
11-01-2021,230690,8737,12.3488301,9.07532216,0.008134779,0.005854347,28.7,53.1,56.37,1317,7433,194,182602,24313,214.0738255,2021.115125,2290,32763,48,-3.3
12-01-2021,232624,8782,12.3571787,9.080459451,0.008348598,0.005137291,30.915,62.065,60.11,1393,8431,202,184904,24603,217.3123393,1818.155398,6221,38984,54,-0.8
13-01-2021,234695,8815,12.36604208,9.084210095,0.008863383,0.003750644,37,72.955,70.375,1380,9849,202,186996,24955,217.1776694,2209.313991,9648,48632,13,0.1
14-01-2021,236827,8878,12.3750852,9.091331585,0.009043118,0.007121491,35.355,74.295,72.55,1403,2556354,207,189937,24553,233.0862226,1758.377938,13970,62602,35,0.9
15-01-2021,238745,8938,12.38315132,9.098067129,0.00806612,0.006735544,33.575,72.57,73.465,1392,0,206,192979,24589,230.9030911,1607.96055,12521,75123,48,-1.1
16-01-2021,240970,9005,12.39242772,9.105535258,0.009276408,0.007468128,33.655,72.46,74.745,1380,73814,203,195663,24454,214.9337326,1966.648315,9264,84387,95,0.8
17-01-2021,242714,9055,12.39963907,9.11107237,0.007211351,0.005537113,35.84,78.775,83.205,1436,27237,211,197938,23996,193.9296604,1892.571996,8065,92452,35,-2
18-01-2021,244348,9087,12.40634872,9.1146001,0.006709643,0.003527729,28.335,63.845,60.55,1497,22435,221,199920,23903,238.9375251,1337.898883,7058,99510,0.0001,-9.4
19-01-2021,245734,9142,12.41200493,9.120634459,0.005656211,0.006034359,29.08,56.505,53.87,1516,32350,229,202166,23695,192.7614641,1858.188269,7855,107365,67,-10.6
20-01-2021,247236,9208,12.41809863,9.12782795,0.006093696,0.007193492,36.41,68.97,67.3,1523,36402,230,204741,23187,176.4833721,1793.934795,8339,115704,39,-11.6
21-01-2021,248860,9273,12.42464577,9.134862231,0.006547143,0.00703428,35.41,72.15,69.58,1496,39981,231,207934,21856,210.1529887,2059.759075,11369,127073,24,-9.9
22-01-2021,250491,9361,12.43117827,9.144307401,0.006532502,0.009445171,33.63,71.73,71.05,1474,33778,227,210364,21640,175.1563441,2127.809439,10783,137856,60,-6.6
23-01-2021,252176,9437,12.43788254,9.152393412,0.006704265,0.008086011,35.43,71.58,73.255,1460,37087,215,213008,20636,192.6632553,1847.044718,8838,146694,24,-13.2
24-01-2021,253633,9478,12.44364362,9.156728603,0.005761084,0.004335191,36.71,81.735,83.125,1491,26831,217,215325,19925,232.1657255,1710.418546,6845,153539,71,-14.2
25-01-2021,254836,9521,12.44837548,9.161255164,0.004731861,0.004526562,30.725,62.51,52.735,1500,20412,212,217575,19010,210.6210359,2094.404467,10514,164053,12,-11.1
