OBJECTID,Province,Abbreviation,DailyTotals,SummaryDate,TotalCases,TotalRecovered,DailyRecovered,TotalDeaths,DailyDeaths,TotalTested,DailyTested,TotalActive,DailyActive,TotalHospitalized,DailyHospitalized,TotalICU,DailyICU,TotalVaccinated,DailyVaccinated
111,ALBERTA,AB,0,2020/02/01 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
124,ALBERTA,AB,0,2020/02/02 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
139,ALBERTA,AB,0,2020/02/03 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
152,ALBERTA,AB,0,2020/02/04 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
167,ALBERTA,AB,0,2020/02/05 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
182,ALBERTA,AB,0,2020/02/06 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
195,ALBERTA,AB,0,2020/02/07 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
210,ALBERTA,AB,0,2020/02/08 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
223,ALBERTA,AB,0,2020/02/09 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
237,ALBERTA,AB,0,2020/02/10 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
250,ALBERTA,AB,0,2020/02/11 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
265,ALBERTA,AB,0,2020/02/12 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
280,ALBERTA,AB,0,2020/02/13 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
294,ALBERTA,AB,0,2020/02/14 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
308,ALBERTA,AB,0,2020/02/15 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
321,ALBERTA,AB,0,2020/02/16 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
336,ALBERTA,AB,0,2020/02/17 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
349,ALBERTA,AB,0,2020/02/18 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
363,ALBERTA,AB,0,2020/02/19 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
376,ALBERTA,AB,0,2020/02/20 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
387,ALBERTA,AB,0,2020/02/21 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
404,ALBERTA,AB,0,2020/02/22 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
418,ALBERTA,AB,0,2020/02/23 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
432,ALBERTA,AB,0,2020/02/24 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
445,ALBERTA,AB,0,2020/02/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
460,ALBERTA,AB,0,2020/02/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
474,ALBERTA,AB,0,2020/02/27 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
490,ALBERTA,AB,0,2020/02/28 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
504,ALBERTA,AB,0,2020/02/29 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
516,ALBERTA,AB,0,2020/03/01 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
531,ALBERTA,AB,0,2020/03/02 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
546,ALBERTA,AB,0,2020/03/03 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
559,ALBERTA,AB,0,2020/03/04 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
573,ALBERTA,AB,1,2020/03/05 12:00:00+00,1,0,0,0,0,0,0,1,1,,,,,,
586,ALBERTA,AB,1,2020/03/06 12:00:00+00,2,0,0,0,0,0,0,2,1,,,,,,
599,ALBERTA,AB,0,2020/03/07 12:00:00+00,2,0,0,0,0,0,0,2,0,,,,,,
613,ALBERTA,AB,2,2020/03/08 12:00:00+00,4,0,0,0,0,0,0,4,2,,,,,,
625,ALBERTA,AB,10,2020/03/09 12:00:00+00,14,0,0,0,0,0,0,14,10,,,,,,
642,ALBERTA,AB,0,2020/03/10 12:00:00+00,14,0,0,0,0,0,0,14,0,,,,,,
656,ALBERTA,AB,5,2020/03/11 12:00:00+00,19,0,0,0,0,0,0,19,5,,,,,,
672,ALBERTA,AB,4,2020/03/12 12:00:00+00,23,0,0,0,0,0,0,23,4,,,,,,
684,ALBERTA,AB,6,2020/03/13 12:00:00+00,29,0,0,0,0,0,0,29,6,,,,,,
700,ALBERTA,AB,10,2020/03/14 12:00:00+00,39,0,0,0,0,0,0,39,10,,,,,,
714,ALBERTA,AB,17,2020/03/15 12:00:00+00,56,0,0,0,0,7108,7108,56,17,,,,,,
726,ALBERTA,AB,18,2020/03/16 12:00:00+00,74,0,0,0,0,10598,3490,74,18,,,,,,
740,ALBERTA,AB,23,2020/03/17 12:00:00+00,97,0,0,0,0,12355,1757,97,23,,,,,,
754,ALBERTA,AB,22,2020/03/18 12:00:00+00,119,0,0,0,0,14566,2211,119,22,,,,,,
768,ALBERTA,AB,27,2020/03/19 12:00:00+00,146,2,2,1,1,17013,2447,143,24,,,,,,
782,ALBERTA,AB,49,2020/03/20 12:00:00+00,195,3,1,1,0,20360,3347,191,48,,,,,,
797,ALBERTA,AB,31,2020/03/21 12:00:00+00,226,3,0,1,0,23742,3382,222,31,,,,,,
810,ALBERTA,AB,33,2020/03/22 12:00:00+00,259,3,0,1,0,26999,3257,255,33,,,,,,
825,ALBERTA,AB,42,2020/03/23 12:00:00+00,301,3,0,1,0,30058,3059,297,42,,,,,,
840,ALBERTA,AB,57,2020/03/24 12:00:00+00,358,3,0,2,1,32776,2718,353,56,,,,,,
853,ALBERTA,AB,61,2020/03/25 12:00:00+00,419,3,0,2,0,35508,2732,414,61,,,,,,
868,ALBERTA,AB,67,2020/03/26 12:00:00+00,486,27,24,2,0,36660,1152,457,43,,,,,,
881,ALBERTA,AB,56,2020/03/27 12:00:00+00,542,33,6,2,0,38215,1555,507,50,,,,,,
895,ALBERTA,AB,79,2020/03/28 12:00:00+00,621,53,20,2,0,42527,4312,566,59,,,,,,
