OBJECTID,Province,Abbreviation,DailyTotals,SummaryDate,TotalCases,TotalRecovered,DailyRecovered,TotalDeaths,DailyDeaths,TotalTested,DailyTested,TotalActive,DailyActive,TotalHospitalized,DailyHospitalized,TotalICU,DailyICU,TotalVaccinated,DailyVaccinated
110,BC,BC,0,2020/02/01 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,,,
123,BC,BC,0,2020/02/02 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,,,
134,BC,BC,0,2020/02/03 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,,,
151,BC,BC,1,2020/02/04 12:00:00+00,2,0,0,0,0,0,0,2,1,,,,,,
166,BC,BC,0,2020/02/05 12:00:00+00,2,0,0,0,0,0,0,2,0,,,,,,
181,BC,BC,2,2020/02/06 12:00:00+00,4,0,0,0,0,0,0,4,2,,,,,,
194,BC,BC,0,2020/02/07 12:00:00+00,4,0,0,0,0,0,0,4,0,,,,,,
209,BC,BC,0,2020/02/08 12:00:00+00,4,0,0,0,0,0,0,4,0,,,,,,
222,BC,BC,0,2020/02/09 12:00:00+00,4,0,0,0,0,0,0,4,0,,,,,,
236,BC,BC,0,2020/02/10 12:00:00+00,4,0,0,0,0,0,0,4,0,,,,,,
249,BC,BC,0,2020/02/11 12:00:00+00,4,0,0,0,0,0,0,4,0,,,,,,
264,BC,BC,0,2020/02/12 12:00:00+00,4,0,0,0,0,0,0,4,0,,,,,,
279,BC,BC,0,2020/02/13 12:00:00+00,4,0,0,0,0,0,0,4,0,,,,,,
293,BC,BC,1,2020/02/14 12:00:00+00,5,0,0,0,0,0,0,5,1,,,,,,
307,BC,BC,0,2020/02/15 12:00:00+00,5,0,0,0,0,0,0,5,0,,,,,,
320,BC,BC,0,2020/02/16 12:00:00+00,5,0,0,0,0,0,0,5,0,,,,,,
335,BC,BC,0,2020/02/17 12:00:00+00,5,0,0,0,0,0,0,5,0,,,,,,
348,BC,BC,0,2020/02/18 12:00:00+00,5,0,0,0,0,0,0,5,0,,,,,,
362,BC,BC,0,2020/02/19 12:00:00+00,5,1,1,0,0,0,0,4,,,,,,,
375,BC,BC,1,2020/02/20 12:00:00+00,6,1,0,0,0,0,0,5,1,,,,,,
391,BC,BC,0,2020/02/21 12:00:00+00,6,1,0,0,0,0,0,5,0,,,,,,
403,BC,BC,0,2020/02/22 12:00:00+00,6,1,0,0,0,0,0,5,0,,,,,,
417,BC,BC,0,2020/02/23 12:00:00+00,6,1,0,0,0,0,0,5,0,,,,,,
433,BC,BC,1,2020/02/24 12:00:00+00,7,1,0,0,0,0,0,6,1,,,,,,
444,BC,BC,0,2020/02/25 12:00:00+00,7,4,3,0,0,0,0,3,-3,,,,,,
459,BC,BC,0,2020/02/26 12:00:00+00,7,4,0,0,0,0,0,3,0,,,,,,
473,BC,BC,0,2020/02/27 12:00:00+00,7,4,0,0,0,0,0,3,0,,,,,,
488,BC,BC,0,2020/02/28 12:00:00+00,7,4,0,0,0,0,0,3,0,,,,,,
502,BC,BC,1,2020/02/29 12:00:00+00,8,4,0,0,0,0,0,4,1,,,,,,
515,BC,BC,0,2020/03/01 12:00:00+00,8,4,0,0,0,0,0,4,0,,,,,,
530,BC,BC,0,2020/03/02 12:00:00+00,8,4,0,0,0,0,0,4,0,,,,,,
545,BC,BC,4,2020/03/03 12:00:00+00,12,4,0,0,0,0,0,8,4,,,,,,
558,BC,BC,1,2020/03/04 12:00:00+00,13,4,0,0,0,0,0,9,1,,,,,,
572,BC,BC,8,2020/03/05 12:00:00+00,21,4,0,0,0,0,0,17,8,,,,,,
585,BC,BC,0,2020/03/06 12:00:00+00,21,4,0,0,0,0,0,17,0,,,,,,
598,BC,BC,6,2020/03/07 12:00:00+00,27,4,0,0,0,0,0,23,6,,,,,,
612,BC,BC,0,2020/03/08 12:00:00+00,27,4,0,1,1,0,0,22,,,,,,,
630,BC,BC,5,2020/03/09 12:00:00+00,32,4,0,1,0,0,0,27,5,,,,,,
644,BC,BC,7,2020/03/10 12:00:00+00,39,4,0,1,0,0,0,34,7,,,,,,
655,BC,BC,7,2020/03/11 12:00:00+00,46,4,0,1,0,0,0,41,7,,,,,,
669,BC,BC,7,2020/03/12 12:00:00+00,53,4,0,1,0,0,0,48,7,,,,,,
683,BC,BC,11,2020/03/13 12:00:00+00,64,5,1,1,0,0,0,58,10,,,,,,
698,BC,BC,9,2020/03/14 12:00:00+00,73,5,0,1,0,0,0,67,9,,,,,,
712,BC,BC,0,2020/03/15 12:00:00+00,73,5,0,1,0,6326,6326,67,0,,,,,,
725,BC,BC,30,2020/03/16 12:00:00+00,103,5,0,4,3,6326,0,94,27,,,,,,
737,BC,BC,83,2020/03/17 12:00:00+00,186,5,0,7,3,6326,0,174,80,,,,,,
753,BC,BC,45,2020/03/18 12:00:00+00,231,5,0,7,0,6326,0,219,45,,,,,,
767,BC,BC,40,2020/03/19 12:00:00+00,271,5,0,8,1,6326,0,258,39,,,,,,
781,BC,BC,77,2020/03/20 12:00:00+00,348,6,1,9,1,17912,11586,333,75,,,,,,
796,BC,BC,76,2020/03/21 12:00:00+00,424,6,0,10,1,21296,3384,408,75,,,,,,
809,BC,BC,0,2020/03/22 12:00:00+00,424,6,0,10,0,26681,5385,408,0,,,,,,
824,BC,BC,48,2020/03/23 12:00:00+00,472,100,94,13,3,26681,0,359,-49,,,,,,
839,BC,BC,145,2020/03/24 12:00:00+00,617,173,73,13,0,26681,0,431,72,,,,,,
852,BC,BC,42,2020/03/25 12:00:00+00,659,183,10,14,1,31739,5058,462,31,,,,,,
867,BC,BC,66,2020/03/26 12:00:00+00,725,186,3,14,0,34561,2822,525,63,,,,,,
880,BC,BC,67,2020/03/27 12:00:00+00,792,275,89,16,2,36643,2082,501,-24,,,,,,
894,BC,BC,92,2020/03/28 12:00:00+00,884,396,121,17,1,38697,2054,471,-30,,,,,,
907,BC,BC,0,2020/03/29 12:00:00+00,884,396,0,17,0,38697,0,471,0,,,,,,
921,BC,BC,86,2020/03/30 12:00:00+00,970,469,73,19,2,42028,3331,482,11,,,,,,
937,BC,BC,43,2020/03/31 12:00:00+00,1013,507,38,24,5,43229,1201,482,0,,,,,,
950,BC,BC,53,2020/04/01 12:00:00+00,1066,606,99,25,1,44639,1410,435,-47,,,,,,
964,BC,BC,55,2020/04/02 12:00:00+00,1121,641,35,31,6,45966,1327,449,14,,,,,,
977,BC,BC,53,2020/04/03 12:00:00+00,1174,673,32,35,4,47352,1386,466,17,,,,,,
991,BC,BC,29,2020/04/04 12:00:00+00,1203,704,31,38,3,48508,1156,461,-5,,,,,,
1007,BC,BC,0,2020/04/05 12:00:00+00,1203,704,0,38,0,48508,0,461,0,,,,,,
1020,BC,BC,63,2020/04/06 12:00:00+00,1266,783,79,39,1,50350,1842,444,-17,,,,,,
1033,BC,BC,25,2020/04/07 12:00:00+00,1291,805,22,43,4,51423,1073,443,,,,,,,
1045,BC,BC,45,2020/04/08 12:00:00+00,1336,838,33,48,5,52412,989,450,7,,,,,,
1056,BRITISH COLUMBIA,BC,34,2020/04/09 12:00:00+00,1370,858,20,50,2,53505,1093,462,12,317,317,67,67,,
1098,BRITISH COLUMBIA,BC,40,2020/04/10 12:00:00+00,1410,879,21,55,5,53505,0,476,14,317,0,67,0,,
1112,BRITISH COLUMBIA,BC,35,2020/04/11 12:00:00+00,1445,905,26,58,3,53505,0,482,6,317,0,67,0,,
1126,BRITISH COLUMBIA,BC,0,2020/04/12 12:00:00+00,1445,905,0,58,0,53505,0,482,0,317,0,67,0,,
1154,BRITISH COLUMBIA,BC,45,2020/04/13 12:00:00+00,1490,926,21,69,11,56142,2637,495,13,317,0,67,0,,
1168,BRITISH COLUMBIA,BC,27,2020/04/14 12:00:00+00,1517,942,16,72,3,58626,2484,503,8,134,-183,58,-9,,
1263,BRITISH COLUMBIA,BC,44,2020/04/15 12:00:00+00,1561,955,13,75,3,58685,59,531,28,131,-3,59,1,,
1278,BRITISH COLUMBIA,BC,14,2020/04/16 12:00:00+00,1575,983,28,77,2,59185,500,515,-16,120,-11,56,-3,,
1293,BRITISH COLUMBIA,BC,43,2020/04/17 12:00:00+00,1618,966,-17,78,1,60668,1483,574,59,119,-1,52,-4,,
1308,BRITISH COLUMBIA,BC,29,2020/04/18 12:00:00+00,1647,987,21,81,3,60668,0,579,5,115,-4,54,2,,
1323,BRITISH COLUMBIA,BC,0,2020/04/19 12:00:00+00,1647,987,0,81,0,60668,0,579,0,115,0,54,0,,
1353,BRITISH COLUMBIA,BC,52,2020/04/20 12:00:00+00,1699,1039,52,86,5,64375,3707,574,-5,104,-11,49,-5,,
1368,BRITISH COLUMBIA,BC,25,2020/04/21 12:00:00+00,1724,1041,2,87,1,65545,1170,596,22,109,5,51,2,,
1383,BRITISH COLUMBIA,BC,71,2020/04/22 12:00:00+00,1795,1079,38,90,3,66977,1432,626,30,103,-6,46,-5,,
1398,BRITISH COLUMBIA,BC,29,2020/04/23 12:00:00+00,1824,1092,13,94,4,68553,1576,638,12,103,0,44,-2,,
1413,BRITISH COLUMBIA,BC,29,2020/04/24 12:00:00+00,1853,1114,22,98,4,71415,2862,641,3,96,-7,41,-3,,
1428,BRITISH COLUMBIA,BC,95,2020/04/25 12:00:00+00,1948,1137,23,100,2,71415,0,711,70,96,0,41,0,,
1443,BRITISH COLUMBIA,BC,0,2020/04/26 12:00:00+00,1948,1137,0,100,0,71415,0,711,0,96,0,41,0,,
1458,BRITISH COLUMBIA,BC,50,2020/04/27 12:00:00+00,1998,1190,53,103,3,78665,7250,705,-6,97,1,36,-5,,
1473,BRITISH COLUMBIA,BC,55,2020/04/28 12:00:00+00,2053,1231,41,105,2,80888,2223,717,12,94,-3,37,1,,
1488,BRITISH COLUMBIA,BC,34,2020/04/29 12:00:00+00,2087,1305,74,109,4,83425,2537,673,-44,89,-5,35,-2,,
1503,BRITISH COLUMBIA,BC,25,2020/04/30 12:00:00+00,2112,1322,17,111,2,86030,2605,679,6,82,-7,30,-5,,
1518,BRITISH COLUMBIA,BC,33,2020/05/01 12:00:00+00,2145,1357,35,112,1,88670,2640,676,-3,79,-3,24,-6,,
1533,BRITISH COLUMBIA,BC,26,2020/05/02 12:00:00+00,2171,1376,19,114,2,88670,0,681,5,79,0,24,0,,
1548,BRITISH COLUMBIA,BC,0,2020/05/03 12:00:00+00,2171,1376,0,114,0,88670,0,681,0,79,0,24,0,,
1563,BRITISH COLUMBIA,BC,53,2020/05/04 12:00:00+00,2224,1417,41,117,3,96517,7847,690,9,77,-2,20,-4,,
1622,BRITISH COLUMBIA,BC,8,2020/05/05 12:00:00+00,2232,1472,55,121,4,98199,1682,639,-51,78,1,21,1,,
1637,BRITISH COLUMBIA,BC,23,2020/05/06 12:00:00+00,2255,1494,22,124,3,100093,1894,637,-2,74,-4,19,-2,,
1652,BRITISH COLUMBIA,BC,33,2020/05/07 12:00:00+00,2288,1512,18,126,2,102710,2617,650,13,76,2,20,1,,
1667,BRITISH COLUMBIA,BC,27,2020/05/08 12:00:00+00,2315,1579,67,127,1,104994,2284,609,-41,73,-3,20,0,,
1682,BRITISH COLUMBIA,BC,15,2020/05/09 12:00:00+00,2330,1659,80,129,2,104994,0,542,-67,73,0,20,0,,
1697,BRITISH COLUMBIA,BC,0,2020/05/10 12:00:00+00,2330,1659,0,129,0,104994,0,542,0,73,0,20,0,,
1712,BRITISH COLUMBIA,BC,23,2020/05/11 12:00:00+00,2353,1719,60,130,1,111498,6504,504,-38,66,-7,18,-2,,
1727,BRITISH COLUMBIA,BC,7,2020/05/12 12:00:00+00,2360,1832,113,131,1,112994,1496,397,-107,63,-3,16,-2,,
1742,BRITISH COLUMBIA,BC,16,2020/05/13 12:00:00+00,2376,1859,27,132,1,114761,1767,385,-12,59,-4,14,-2,,
1757,BRITISH COLUMBIA,BC,16,2020/05/14 12:00:00+00,2392,1885,26,135,3,116764,2003,372,-13,58,-1,12,-2,,
1772,BRITISH COLUMBIA,BC,15,2020/05/15 12:00:00+00,2407,1908,23,140,5,118335,1571,359,-13,51,-7,12,0,,
1787,BRITISH COLUMBIA,BC,21,2020/05/16 12:00:00+00,2428,1932,24,141,1,118335,0,355,-4,49,-2,11,-1,,
1802,BRITISH COLUMBIA,BC,0,2020/05/17 12:00:00+00,2428,1932,0,141,0,118335,0,355,0,49,0,11,0,,
1817,BRITISH COLUMBIA,BC,16,2020/05/18 12:00:00+00,2444,1966,34,143,2,118335,0,335,-20,47,-2,12,1,,
1847,BRITISH COLUMBIA,BC,2,2020/05/19 12:00:00+00,2446,1975,9,146,3,125044,6709,325,-10,45,-2,12,0,,
1862,BRITISH COLUMBIA,BC,21,2020/05/20 12:00:00+00,2467,2001,26,149,3,126236,1192,317,-8,43,-2,10,-2,,
1877,BRITISH COLUMBIA,BC,12,2020/05/21 12:00:00+00,2479,2020,19,152,3,127786,1550,307,-10,43,0,8,-2,,
1892,BRITISH COLUMBIA,BC,28,2020/05/22 12:00:00+00,2507,2042,22,155,3,129942,2156,310,3,41,-2,8,0,,
1907,BRITISH COLUMBIA,BC,10,2020/05/23 12:00:00+00,2517,2057,15,157,2,129942,0,303,-7,41,0,8,0,,
1922,BRITISH COLUMBIA,BC,0,2020/05/24 12:00:00+00,2517,2057,0,157,0,129942,0,303,0,41,0,8,0,,
1937,BRITISH COLUMBIA,BC,13,2020/05/25 12:00:00+00,2530,2102,45,161,4,135190,5248,267,-36,37,-4,7,-1,,
1952,BRITISH COLUMBIA,BC,11,2020/05/26 12:00:00+00,2541,2122,20,161,0,136321,1131,258,-9,37,0,7,0,,
1967,BRITISH COLUMBIA,BC,9,2020/05/27 12:00:00+00,2550,2144,22,162,1,138043,1722,244,-14,37,0,7,0,,
1982,BRITISH COLUMBIA,BC,8,2020/05/28 12:00:00+00,2558,2153,9,164,2,140136,2093,241,-3,33,-4,6,-1,,
