OBJECTID,Province,Abbreviation,DailyTotals,SummaryDate,TotalCases,TotalRecovered,DailyRecovered,TotalDeaths,DailyDeaths,TotalTested,DailyTested,TotalActive,DailyActive,TotalHospitalized,DailyHospitalized,TotalICU,DailyICU,TotalVaccinated,DailyVaccinated
101,QUEBEC,QC,0,2020/02/01 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
117,QUEBEC,QC,0,2020/02/02 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
132,QUEBEC,QC,0,2020/02/03 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
145,QUEBEC,QC,0,2020/02/04 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
160,QUEBEC,QC,0,2020/02/05 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
172,QUEBEC,QC,0,2020/02/06 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
185,QUEBEC,QC,0,2020/02/07 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
200,QUEBEC,QC,0,2020/02/08 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
213,QUEBEC,QC,0,2020/02/09 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
227,QUEBEC,QC,0,2020/02/10 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
243,QUEBEC,QC,0,2020/02/11 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
259,QUEBEC,QC,0,2020/02/12 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
270,QUEBEC,QC,0,2020/02/13 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
284,QUEBEC,QC,0,2020/02/14 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
298,QUEBEC,QC,0,2020/02/15 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
311,QUEBEC,QC,0,2020/02/16 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
326,QUEBEC,QC,0,2020/02/17 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
339,QUEBEC,QC,0,2020/02/18 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
353,QUEBEC,QC,0,2020/02/19 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
369,QUEBEC,QC,0,2020/02/20 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
381,QUEBEC,QC,0,2020/02/21 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
397,QUEBEC,QC,0,2020/02/22 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
411,QUEBEC,QC,0,2020/02/23 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
421,QUEBEC,QC,0,2020/02/24 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
435,QUEBEC,QC,0,2020/02/25 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
453,QUEBEC,QC,0,2020/02/26 12:00:00+00,0,0,0,0,0,0,0,0,0,,,,,,
467,QUEBEC,QC,1,2020/02/27 12:00:00+00,1,0,0,0,0,0,0,1,1,,,,,,
482,QUEBEC,QC,0,2020/02/28 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,,,
496,QUEBEC,QC,0,2020/02/29 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,,,
509,QUEBEC,QC,0,2020/03/01 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,,,
524,QUEBEC,QC,0,2020/03/02 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,,,
536,QUEBEC,QC,0,2020/03/03 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,,,
549,QUEBEC,QC,0,2020/03/04 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,,,
563,QUEBEC,QC,1,2020/03/05 12:00:00+00,2,0,0,0,0,0,0,2,1,,,,,,
579,QUEBEC,QC,1,2020/03/06 12:00:00+00,3,0,0,0,0,0,0,3,1,,,,,,
594,QUEBEC,QC,0,2020/03/07 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,,
616,QUEBEC,QC,1,2020/03/08 12:00:00+00,4,0,0,0,0,0,0,4,1,,,,,,
623,QUEBEC,QC,1,2020/03/09 12:00:00+00,5,0,0,0,0,0,0,5,1,,,,,,
633,QUEBEC,QC,0,2020/03/10 12:00:00+00,5,0,0,0,0,0,0,5,0,,,,,,
649,QUEBEC,QC,3,2020/03/11 12:00:00+00,8,0,0,0,0,0,0,8,3,,,,,,
662,QUEBEC,QC,9,2020/03/12 12:00:00+00,17,0,0,0,0,0,0,17,9,,,,,,
677,QUEBEC,QC,0,2020/03/13 12:00:00+00,17,0,0,0,0,0,0,17,0,,,,,,
692,QUEBEC,QC,7,2020/03/14 12:00:00+00,24,0,0,0,0,0,0,24,7,,,,,,
706,QUEBEC,QC,15,2020/03/15 12:00:00+00,39,0,0,0,0,0,0,39,15,,,,,,
719,QUEBEC,QC,11,2020/03/16 12:00:00+00,50,0,0,0,0,6202,6202,50,11,,,,,,
731,QUEBEC,QC,24,2020/03/17 12:00:00+00,74,0,0,0,0,7801,1599,74,24,,,,,,
747,QUEBEC,QC,20,2020/03/18 12:00:00+00,94,1,1,1,1,8934,1133,92,18,,,,,,
761,QUEBEC,QC,27,2020/03/19 12:00:00+00,121,1,0,1,0,10451,1517,119,27,,,,,,
775,QUEBEC,QC,18,2020/03/20 12:00:00+00,139,1,0,1,0,10451,0,137,18,,,,,,
790,QUEBEC,QC,42,2020/03/21 12:00:00+00,181,1,0,4,3,10935,484,176,39,,,,,,
803,QUEBEC,QC,38,2020/03/22 12:00:00+00,219,1,0,4,0,12068,1133,214,38,,,,,,
818,QUEBEC,QC,409,2020/03/23 12:00:00+00,628,1,0,4,0,13727,1659,623,409,,,,,,
