,Mean Temp,date
1,2.4,01-02-2020
2,-6.7,02-02-2020
3,-9.7,03-02-2020
4,-10.1,04-02-2020
5,1,05-02-2020
6,-2.6,06-02-2020
7,-4.6,07-02-2020
8,-7.7,08-02-2020
9,-5.7,09-02-2020
10,-3.2,10-02-2020
11,-2.3,11-02-2020
12,-10.9,12-02-2020
13,-3.3,13-02-2020
14,-4.5,14-02-2020
15,-2.7,15-02-2020
16,-3.2,16-02-2020
17,-11.9,17-02-2020
18,-11.8,18-02-2020
19,-8.2,19-02-2020
20,-3.1,20-02-2020
21,1.2,21-02-2020
22,-2.1,22-02-2020
23,-5,23-02-2020
24,-5.9,24-02-2020
25,-7.8,25-02-2020
26,-0.2,26-02-2020
27,3.2,27-02-2020
28,4.2,28-02-2020
29,1.3,29-02-2020
30,-4.4,01-03-2020
31,2.6,02-03-2020
32,1.2,03-03-2020
33,-0.6,04-03-2020
34,0,05-03-2020
35,0.4,06-03-2020
36,-11.1,07-03-2020
37,-13.8,08-03-2020
38,-7.3,09-03-2020
39,-2.4,10-03-2020
40,-0.4,11-03-2020
41,-3.9,12-03-2020
42,-14.7,13-03-2020
43,-19.8,14-03-2020
44,-17.4,15-03-2020
45,-5.6,16-03-2020
46,-3,17-03-2020
47,-8.8,18-03-2020
48,-10.2,19-03-2020
49,-5.8,20-03-2020
50,-2.8,21-03-2020
51,0.3,22-03-2020
52,1.6,23-03-2020
53,-3.9,24-03-2020
54,-5.2,25-03-2020
55,-0.1,26-03-2020
56,2.4,27-03-2020
57,1.4,28-03-2020
58,4.5,29-03-2020
59,-4.9,30-03-2020
60,-10.1,31-03-2020
61,-12.8,01-04-2020
62,-11.7,02-04-2020
63,-9.5,03-04-2020
64,-7.4,04-04-2020
65,-5.6,05-04-2020
66,-1,06-04-2020
67,0.3,07-04-2020
68,0.2,08-04-2020
69,4.9,09-04-2020
70,0.3,10-04-2020
71,-6.4,11-04-2020
72,-5.8,12-04-2020
73,-3,13-04-2020
74,3.4,14-04-2020
75,-0.8,15-04-2020
76,2.2,16-04-2020
77,7.1,17-04-2020
78,2,18-04-2020
79,5.8,19-04-2020
80,11.8,20-04-2020
81,13.2,21-04-2020
82,8.5,22-04-2020
83,7.2,23-04-2020
84,6.9,24-04-2020
85,9,25-04-2020
86,7.9,26-04-2020
87,8.9,27-04-2020
88,8.3,28-04-2020
89,11.8,29-04-2020
90,10.9,30-04-2020
91,7,01-05-2020
92,9,02-05-2020
93,9.1,03-05-2020
94,4,04-05-2020
95,6.8,05-05-2020
96,8.2,06-05-2020
97,11.4,07-05-2020
98,6.7,08-05-2020
99,6,09-05-2020
100,3.6,10-05-2020
101,3.5,11-05-2020
102,5.5,12-05-2020
103,6.6,13-05-2020
104,9,14-05-2020
105,9.4,15-05-2020
106,11.8,16-05-2020
107,13,17-05-2020
108,13.7,18-05-2020
109,11.3,19-05-2020
110,9,20-05-2020
111,5.1,21-05-2020
112,4,22-05-2020
113,10,23-05-2020
114,11.3,24-05-2020
115,13.6,25-05-2020
116,10,26-05-2020
117,9.4,27-05-2020
118,11,28-05-2020
119,14.1,29-05-2020
120,17.6,30-05-2020
121,14.4,31-05-2020
122,11.9,01-06-2020
123,12.7,02-06-2020
124,11.6,03-06-2020
125,10.3,04-06-2020
126,10.1,05-06-2020
127,14,06-06-2020
128,9.4,07-06-2020
129,10,08-06-2020
130,10.4,09-06-2020
131,15,10-06-2020
132,15.7,11-06-2020
133,19.5,12-06-2020
134,15.4,13-06-2020
135,12.7,14-06-2020
136,12.8,15-06-2020
137,12,16-06-2020
138,11.7,17-06-2020
139,11.6,18-06-2020
140,13.4,19-06-2020
141,16.9,20-06-2020
142,16.4,21-06-2020
143,16,22-06-2020
144,18.7,23-06-2020
145,15.2,24-06-2020
146,15.8,25-06-2020
147,18.1,26-06-2020
148,13.7,27-06-2020
149,10.6,28-06-2020
150,13.5,29-06-2020
151,11.3,30-06-2020
152,15,01-07-2020
153,14.7,02-07-2020
154,16.4,03-07-2020
155,13.8,04-07-2020
156,12.9,05-07-2020
157,15.2,06-07-2020
158,13.6,07-07-2020
159,13.6,08-07-2020
160,14.9,09-07-2020
161,15.9,10-07-2020
162,16.1,11-07-2020
163,15.6,12-07-2020
164,12.8,13-07-2020
165,16.1,14-07-2020
166,16.2,15-07-2020
167,19.2,16-07-2020
168,16.1,17-07-2020
169,15.5,18-07-2020
170,16.4,19-07-2020
171,16.2,20-07-2020
172,18.1,21-07-2020
173,19.1,22-07-2020
174,17.2,23-07-2020
175,14.1,24-07-2020
176,13.5,25-07-2020
177,15.6,26-07-2020
