,Mean Temp,date
1,7.1,01-02-2020
2,2.4,02-02-2020
3,2.2,03-02-2020
4,0.5,04-02-2020
5,2.7,05-02-2020
6,4.4,06-02-2020
7,5.7,07-02-2020
8,5.2,08-02-2020
9,2,09-02-2020
10,3.7,10-02-2020
11,5.9,11-02-2020
12,6.4,12-02-2020
13,6.8,13-02-2020
14,5.1,14-02-2020
15,5.1,15-02-2020
16,5.7,16-02-2020
17,3.3,17-02-2020
18,2.2,18-02-2020
19,2,19-02-2020
20,2.6,20-02-2020
21,4.7,21-02-2020
22,6.2,22-02-2020
23,6.5,23-02-2020
24,5.9,24-02-2020
25,5.2,25-02-2020
26,6.3,26-02-2020
27,7.7,27-02-2020
28,6.4,28-02-2020
29,6.5,29-02-2020
30,3.3,01-03-2020
31,4.8,02-03-2020
32,5.3,03-03-2020
33,7.2,04-03-2020
34,6.8,05-03-2020
35,6.8,06-03-2020
36,3.5,07-03-2020
37,2.8,08-03-2020
38,1.8,09-03-2020
39,4.9,10-03-2020
40,6.8,11-03-2020
41,4.7,12-03-2020
42,5,13-03-2020
43,5,14-03-2020
44,1.1,15-03-2020
45,3.4,16-03-2020
46,3.9,17-03-2020
47,5.1,18-03-2020
48,6.5,19-03-2020
49,6.5,20-03-2020
50,5.6,21-03-2020
51,6.7,22-03-2020
52,7.2,23-03-2020
53,5.5,24-03-2020
54,5.9,25-03-2020
55,6.4,26-03-2020
56,7.2,27-03-2020
57,8.7,28-03-2020
58,10.3,29-03-2020
59,7.1,30-03-2020
60,6.2,31-03-2020
61,5.3,01-04-2020
62,5.8,02-04-2020
63,6.1,03-04-2020
64,6,04-04-2020
65,6.8,05-04-2020
66,5.8,06-04-2020
67,7.3,07-04-2020
68,7,08-04-2020
69,7.7,09-04-2020
70,9.3,10-04-2020
71,10.1,11-04-2020
72,7.2,12-04-2020
73,7.6,13-04-2020
74,9.4,14-04-2020
75,9.8,15-04-2020
76,10.1,16-04-2020
77,10.9,17-04-2020
78,13,18-04-2020
79,12.8,19-04-2020
80,10.7,20-04-2020
81,10.7,21-04-2020
82,9.8,22-04-2020
83,11.1,23-04-2020
84,10.7,24-04-2020
85,13.5,25-04-2020
86,10,26-04-2020
87,12.2,27-04-2020
88,10.2,28-04-2020
89,10.1,29-04-2020
90,12.3,30-04-2020
91,5.3,01-05-2020
92,5.8,02-05-2020
93,6.1,03-05-2020
94,6,04-05-2020
95,6.8,05-05-2020
96,5.8,06-05-2020
97,7.3,07-05-2020
98,7,08-05-2020
99,7.7,09-05-2020
100,9.3,10-05-2020
101,10.1,11-05-2020
102,7.2,12-05-2020
103,7.6,13-05-2020
