,Mean Temp,date
1,-1.6,01-02-2020
2,0,02-02-2020
3,3.1,03-02-2020
4,-1.2,04-02-2020
5,-5.6,05-02-2020
6,-4.5,06-02-2020
7,-6.8,07-02-2020
8,-11,08-02-2020
9,-5,09-02-2020
10,1.6,10-02-2020
11,-0.1,11-02-2020
12,-1.6,12-02-2020
13,-8.7,13-02-2020
14,-14.9,14-02-2020
15,-5.8,15-02-2020
16,0.1,16-02-2020
17,-3.1,17-02-2020
18,1.9,18-02-2020
19,-3.9,19-02-2020
20,-7.8,20-02-2020
21,-5,21-02-2020
22,0.7,22-02-2020
23,4.5,23-02-2020
24,4.3,24-02-2020
25,2.4,25-02-2020
26,-0.8,26-02-2020
27,-4.9,27-02-2020
28,-7.2,28-02-2020
29,-8.9,29-02-2020
30,-1.6,01-03-2020
31,0,02-03-2020
32,3.1,03-03-2020
33,-1.2,04-03-2020
34,-5.6,05-03-2020
35,-4.5,06-03-2020
36,-6.8,07-03-2020
37,-11,08-03-2020
38,-5,09-03-2020
39,1.6,10-03-2020
40,-0.1,11-03-2020
41,-1.6,12-03-2020
42,-8.7,13-03-2020
43,-14.9,14-03-2020
44,-5.8,15-03-2020
45,0.1,16-03-2020
46,-3.1,17-03-2020
47,1.9,18-03-2020
48,-3.9,19-03-2020
49,-7.8,20-03-2020
50,-5,21-03-2020
51,0.7,22-03-2020
52,4.5,23-03-2020
53,4.3,24-03-2020
54,2.4,25-03-2020
55,-0.8,26-03-2020
56,-4.9,27-03-2020
57,-7.2,28-03-2020
58,-8.9,29-03-2020
59,-8.9,30-03-2020
60,-3.1,31-03-2020
61,5.6,01-04-2020
62,8.3,02-04-2020
63,6.6,03-04-2020
64,8.3,04-04-2020
65,6.1,05-04-2020
66,7,06-04-2020
67,9.1,07-04-2020
68,9.7,08-04-2020
69,5.1,09-04-2020
70,3.9,10-04-2020
71,3.7,11-04-2020
72,8.8,12-04-2020
73,8.4,13-04-2020
74,1.9,14-04-2020
75,-0.2,15-04-2020
76,0.1,16-04-2020
77,2,17-04-2020
78,4.2,18-04-2020
79,6.1,19-04-2020
80,1.7,20-04-2020
81,2.9,21-04-2020
82,1.8,22-04-2020
83,2.2,23-04-2020
84,7.1,24-04-2020
85,6.6,25-04-2020
86,8.6,26-04-2020
87,8.9,27-04-2020
88,10.3,28-04-2020
89,11.1,29-04-2020
90,11.8,30-04-2020
91,11.4,01-05-2020
92,10.6,02-05-2020
93,13.8,03-05-2020
94,6.6,04-05-2020
95,5.4,05-05-2020
96,7.7,06-05-2020
97,7.4,07-05-2020
98,0.9,08-05-2020
99,1.1,09-05-2020
100,3.4,10-05-2020
101,3.1,11-05-2020
102,2.4,12-05-2020
103,4.9,13-05-2020
104,9.6,14-05-2020
105,13.4,15-05-2020
106,12.2,16-05-2020
107,11.8,17-05-2020
108,13.2,18-05-2020
109,14.8,19-05-2020
110,14.4,20-05-2020
111,14.1,21-05-2020
112,16.8,22-05-2020
113,18.8,23-05-2020
114,20.6,24-05-2020
115,24.4,25-05-2020
116,23.7,26-05-2020
117,23.8,27-05-2020
118,20.5,28-05-2020
119,18.4,29-05-2020
120,13.4,30-05-2020
121,11.5,31-05-2020
122,15.8,01-06-2020
123,20.1,02-06-2020
124,20.4,03-06-2020
125,22.8,04-06-2020
126,22.7,05-06-2020
127,20,06-06-2020
128,16,07-06-2020
129,16.4,08-06-2020
130,23.6,09-06-2020
131,24.5,10-06-2020
132,19.9,11-06-2020
133,13.6,12-06-2020
134,13.4,13-06-2020
135,12.9,14-06-2020
136,15,15-06-2020
137,17.1,16-06-2020
138,20.1,17-06-2020
139,22.3,18-06-2020
140,23.7,19-06-2020
141,24.8,20-06-2020
142,25,21-06-2020
143,25,22-06-2020
144,21.5,23-06-2020
145,19.4,24-06-2020
146,18.9,25-06-2020
147,22.5,26-06-2020
148,24.3,27-06-2020
149,23.3,28-06-2020
150,25.5,29-06-2020
151,23.4,30-06-2020
152,24.4,01-07-2020
153,28.3,02-07-2020
154,27.4,03-07-2020
155,26.1,04-07-2020
156,26.3,05-07-2020
157,26,06-07-2020
158,27.8,07-07-2020
159,28.4,08-07-2020
160,28.4,09-07-2020
161,26.5,10-07-2020
162,24.3,11-07-2020
163,23.1,12-07-2020
164,21.7,13-07-2020
165,22.1,14-07-2020
166,23.3,15-07-2020
167,23.7,16-07-2020
168,25.8,17-07-2020
169,26.7,18-07-2020
170,26.6,19-07-2020
171,23.7,20-07-2020
172,20.8,21-07-2020
173,23.5,22-07-2020
174,23,23-07-2020
175,22.6,24-07-2020
176,23.9,25-07-2020
177,26.6,26-07-2020
178,27.3,27-07-2020
179,24.3,28-07-2020
180,25.1,29-07-2020
181,22.5,30-07-2020
182,23.5,31-07-2020
183,24.4,01-08-2020
184,24,02-08-2020
185,21,03-08-2020
186,21.2,04-08-2020
187,19.1,05-08-2020
188,18.6,06-08-2020
189,20.1,07-08-2020
190,21.5,08-08-2020
191,25.5,09-08-2020
192,27,10-08-2020
193,22.3,11-08-2020
194,22.5,12-08-2020
195,24,13-08-2020
196,24.7,14-08-2020
197,22.5,15-08-2020
198,22.2,16-08-2020
199,21.2,17-08-2020
200,19.6,18-08-2020
201,17.5,19-08-2020
202,19.3,20-08-2020
203,24,21-08-2020
204,25,22-08-2020
205,25.1,23-08-2020
206,26.6,24-08-2020
207,22.5,25-08-2020
208,17.7,26-08-2020
209,24.1,27-08-2020
210,20.4,28-08-2020
211,21.6,29-08-2020
212,18.8,30-08-2020
213,19.9,31-08-2020
214,23.4,01-09-2020
215,23.1,02-09-2020
216,21.8,03-09-2020
217,17.7,04-09-2020
218,16.3,05-09-2020
219,15.7,06-09-2020
220,20.4,07-09-2020
221,15.5,08-09-2020
222,16.1,09-09-2020
223,16.4,10-09-2020
224,14.6,11-09-2020
225,15.9,12-09-2020
226,20,13-09-2020
227,12.1,14-09-2020
228,12.4,15-09-2020
229,19.8,16-09-2020
230,13.4,17-09-2020
231,10.6,18-09-2020
232,8.8,19-09-2020
233,13,20-09-2020
234,11.8,21-09-2020
235,14.1,22-09-2020
236,19.9,23-09-2020
237,18.5,24-09-2020
238,19.3,25-09-2020
239,19,26-09-2020
240,23.4,27-09-2020
241,20.7,28-09-2020
242,15.9,29-09-2020
