,Mean Temp,date
1,-5.9,01-02-2020
2,-6.3,02-02-2020
3,-0.4,03-02-2020
4,-0.2,04-02-2020
5,-5.4,05-02-2020
6,-7,06-02-2020
7,-8.8,07-02-2020
8,-16.6,08-02-2020
9,-15.5,09-02-2020
10,-7,10-02-2020
11,-6.8,11-02-2020
12,-1.5,12-02-2020
13,-7.5,13-02-2020
14,-18.8,14-02-2020
15,-11.3,15-02-2020
16,-0.8,16-02-2020
17,-7.6,17-02-2020
18,-4.7,18-02-2020
19,-5.3,19-02-2020
20,-14.7,20-02-2020
21,-10.9,21-02-2020
22,-0.4,22-02-2020
23,0.8,23-02-2020
24,4.8,24-02-2020
25,1.3,25-02-2020
26,-1.4,26-02-2020
27,-3.1,27-02-2020
28,-8.6,28-02-2020
29,-10.8,29-02-2020
30,-9.6,01-03-2020
31,-1.5,02-03-2020
32,2.7,03-03-2020
33,1.6,04-03-2020
34,0,05-03-2020
35,-2.9,06-03-2020
36,-5.2,07-03-2020
37,1.6,08-03-2020
38,5.4,09-03-2020
39,1.7,10-03-2020
40,-3.3,11-03-2020
41,-0.7,12-03-2020
42,4.6,13-03-2020
43,1.4,14-03-2020
44,-4.6,15-03-2020
45,-4,16-03-2020
46,3.1,17-03-2020
47,0,18-03-2020
48,4.1,19-03-2020
49,7,20-03-2020
50,-4.7,21-03-2020
51,-5,22-03-2020
52,-2.6,23-03-2020
53,2.6,24-03-2020
54,3,25-03-2020
55,7.1,26-03-2020
56,3.5,27-03-2020
57,3.2,28-03-2020
58,4.9,29-03-2020
59,5,30-03-2020
60,3.8,31-03-2020
61,2.6,01-04-2020
62,3.9,02-04-2020
63,6.8,03-04-2020
64,7.4,04-04-2020
65,6.5,05-04-2020
66,5.6,06-04-2020
67,6.1,07-04-2020
68,4.6,08-04-2020
69,3.4,09-04-2020
70,4,10-04-2020
71,3.2,11-04-2020
72,6.8,12-04-2020
73,10.1,13-04-2020
74,4.9,14-04-2020
75,2.2,15-04-2020
76,1.1,16-04-2020
77,1.4,17-04-2020
78,3.4,18-04-2020
79,6.1,19-04-2020
80,1.3,20-04-2020
81,3.8,21-04-2020
82,-1.6,22-04-2020
83,1.5,23-04-2020
84,3.5,24-04-2020
85,7.5,25-04-2020
86,8.8,26-04-2020
87,8.2,27-04-2020
88,9,28-04-2020
89,10.7,29-04-2020
90,10.1,30-04-2020
91,12.2,01-05-2020
92,11.1,02-05-2020
93,15.1,03-05-2020
94,8,04-05-2020
95,7.1,05-05-2020
96,9.5,06-05-2020
97,9.5,07-05-2020
98,3.2,08-05-2020
99,3,09-05-2020
100,6.3,10-05-2020
101,5.3,11-05-2020
102,5.2,12-05-2020
103,7.8,13-05-2020
104,10.8,14-05-2020
105,12.3,15-05-2020
106,14.1,16-05-2020
107,14.7,17-05-2020
108,13.9,18-05-2020
109,14.2,19-05-2020
110,15.4,20-05-2020
111,17.8,21-05-2020
112,19.7,22-05-2020
113,15.9,23-05-2020
114,16.9,24-05-2020
115,19.9,25-05-2020
116,23.9,26-05-2020
117,28.2,27-05-2020
118,25.8,28-05-2020
119,24.7,29-05-2020
120,15.9,30-05-2020
121,9,31-05-2020
122,9.1,01-06-2020
123,11,02-06-2020
124,13.6,03-06-2020
125,18.8,04-06-2020
126,22.7,05-06-2020
127,19.6,06-06-2020
128,17.2,07-06-2020
129,17.1,08-06-2020
130,18.5,09-06-2020
131,20.8,10-06-2020
132,21.9,11-06-2020
133,15.4,12-06-2020
134,11.9,13-06-2020
135,14.4,14-06-2020
136,16.4,15-06-2020
137,19.9,16-06-2020
138,19.9,17-06-2020
139,25.1,18-06-2020
140,26.2,19-06-2020
141,27.1,20-06-2020
142,26.7,21-06-2020
143,27.7,22-06-2020
144,26.8,23-06-2020
145,21.1,24-06-2020
146,21.1,25-06-2020
147,21.9,26-06-2020
148,22.9,27-06-2020
149,22.9,28-06-2020
150,22,29-06-2020
151,21.7,30-06-2020
152,24,01-07-2020
153,25.3,02-07-2020
154,24.3,03-07-2020
155,23.2,04-07-2020
156,22.6,05-07-2020
157,22.4,06-07-2020
158,24.6,07-07-2020
159,26.5,08-07-2020
160,27.4,09-07-2020
161,30.1,10-07-2020
162,25.1,11-07-2020
163,25,12-07-2020
164,23.6,13-07-2020
165,21.6,14-07-2020
166,21,15-07-2020
167,24.3,16-07-2020
168,23.2,17-07-2020
169,25.7,18-07-2020
170,27.5,19-07-2020
171,25,20-07-2020
172,21.6,21-07-2020
173,21.7,22-07-2020
174,22.1,23-07-2020
175,22.7,24-07-2020
176,24.8,25-07-2020
177,27.9,26-07-2020
178,26.9,27-07-2020
179,26,28-07-2020
180,21.8,29-07-2020
181,22.1,30-07-2020
182,21.9,31-07-2020
183,23.3,01-08-2020
184,24.3,02-08-2020
185,22.3,03-08-2020
186,20.1,04-08-2020
187,20.1,05-08-2020
188,19.7,06-08-2020
189,21.3,07-08-2020
190,21.6,08-08-2020
191,23.6,09-08-2020
192,24,10-08-2020
193,27.4,11-08-2020
194,24.9,12-08-2020
195,24.1,13-08-2020
196,22.3,14-08-2020
197,22.4,15-08-2020
198,23.7,16-08-2020
199,21.8,17-08-2020
200,19.7,18-08-2020
201,17.3,19-08-2020
202,16.2,20-08-2020
203,19.9,21-08-2020
204,20.4,22-08-2020
205,23,23-08-2020
206,22.8,24-08-2020
207,18.9,25-08-2020
208,14.5,26-08-2020
209,13.1,27-08-2020
210,16.5,28-08-2020
211,16.4,29-08-2020
212,16.9,30-08-2020
213,15.7,31-08-2020
214,19,01-09-2020
215,20,02-09-2020
216,19.5,03-09-2020
217,17.1,04-09-2020
