,ca,qb,on,ab,bc,ca-us,qb-us,on-us,ab-us,bc-us
0,"365,627","60,224","160,460","14,042","127,366","2,108,365","182,678","1,176,370","26,851","511,052"
1,"314,407","70,264","131,845","15,259","93,409","2,123,151","175,010","1,164,493","28,224","545,830"
2,"149,471","27,235","71,017","8,321","40,120","1,564,530","161,392","884,179","43,459","305,744"
3,"16,612","3,509","8,601",674,"2,481","458,763","48,527","268,796","14,912","67,319"
4,"14,284","3,446","6,235",464,"3,045","514,823","52,857","306,474","15,214","74,653"
5,"19,917","4,777","8,705",256,"4,697","637,658","57,600","412,464","14,623","84,284"
6,"28,358","6,448","14,328",454,"5,998","665,903","58,636","431,772","15,052","88,204"
7,"37,840","7,733","20,223",524,"8,350","677,924","61,690","442,210","14,740","86,906"
8,"34,797","5,956","19,218",677,"8,072","698,081","65,903","458,921","13,610","86,127"
9,"27,403","4,545","14,680",778,"6,368","722,062","67,804","476,622","14,164","89,637"
10,"28,715","4,594","15,994",894,"6,427","647,963","61,243","430,827","13,709","78,845"
11,"40,359","8,313","21,779","1,802","7,560","653,673","61,141","431,530","14,174","81,073"
12,"34,465","6,472","18,089",967,"8,087","627,461","59,080","410,591","14,128","79,571"
13,"26,257","3,944","14,472",552,"6,529","602,644","56,192","397,578","12,688","76,428"
